From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
Access;name;RESTRINGIDO;DocumentalsUnits;name;INFORME DE RESULTADO DE REVISIÓN POR LA DIRECCIÓN;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;INFORME VISITA HERMANO PROVINCIAL;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;MATRIZ DE INDICADORES DEL SISTEMA DE GESTIÓN DE LA CALIDAD;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;PLAN OPERATIVO ANUAL;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;INFORME DE  GESTIÓN O DESEMPEÑO DEL PROCESO;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;ACTA DE CONSEJO DIRECTIVO;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;RESOLUCIONES DE RECTORÍA;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;CIRCULARES DE RECTORÍA;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;CRONOGRAMA DISTRITAL;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;CRONOGRAMA INSTITUCIONAL;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;EVALUACIÓN INSTITUCIONAL;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;GUÍA DE AUTOEVALUACIÓN;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;GUÍA PARA LA ENTREGA DE UNA OBRA LASALLISTA;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;CARTA DE NOMBRAMIENTO DE RECTOR;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;CONVENIOS INTERINSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;ACTAS - COMITÉ DE COORDINACIÓN;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;GD - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;GD - CIRCULARES EXTERNAS;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;FORMULARIO DE INSCRIPCIÓN;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;REGISTRO DE RESULTADOS DE ADMISIÓN;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;HOJA DE MATRÍCULA;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;DEVOLUCIÓN DE DOCUMENTOS;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;AUTORIZACIÓN RETIRO DE ESTUDIANTES;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;LISTA DE CHEQUEO PARA RECEPCIÓN DE DOCUMENTOS PARA LA MATRICULA;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;CONTRATO DE PRESTACIÓN DEL SERVICIO EDUCATIVO;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;LISTADO DE ESTUDIANTES MATRICULADOS;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;LISTADO DE ASPIRANTES INSCRITOS;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;LISTADOS DE ASPIRANTES ADMITIDOS;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;PAZ Y SALVO ESTUDIANTES;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;LIBRO DE ACTAS DE GRADO;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;AM - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;AM - CIRCULARES;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;HORARIO DE CLASES;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;REGISTRO DE VALIDACIÓN DE LA PRESTACIÓN DEL SERVICIO EDUCATIVO;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;CONTROL DE ACTIVIDADES DE SUPERACIÓN O RECUPERACIÓN;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;OBSERVADOR DEL ESTUDIANTE;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;PLAN DE CURSO;;Uno a Muchos Bidirecccional No.5
Access;name;RESTRINGIDO;DocumentalsUnits;name;CONTROL DE ATENCIÓN PARA ORIENTACIÓN;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;AUTORIZACIÓN PARA ESTUDIANTES;;Uno a Muchos Bidirecccional No.5
Access;name;LIBRE;DocumentalsUnits;name;CITACIÓN A PADRES DE FAMILIA;;Uno a Muchos Bidirecccional No.5
