From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=1 Y CENTRAL=2;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=VIGENCIA DEL CONVENIO Y CENTRAL=2;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=ANO ACTUAL Y CENTRAL=2;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=VIDA UTIL DEL EQUIPO Y CENTRAL=2;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=ANO ACTUAL Y CENTRAL=3;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=1 Y CENTRAL=3;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=1 Y CENTRAL=50;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=ANO LECTIVO Y CENTRAL=5;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=1 Y CENTRAL=5;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=2 Y CENTRAL=5;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=PERMANENCIA DEL RECTOR Y CENTRAL=5;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=PERMANENCIA DEL RECTOR Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=ANO ACTUAL Y CENTRAL=5;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=PERMANENCIA DEL ALUMNO Y CENTRAL=5;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=PERMANENCIA DEL EMPLEADO Y CENTRAL=5;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=2 Y CENTRAL=20;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=ANO ACTUAL Y CENTRAL=15;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=1 Y CENTRAL=15;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=ANO LECTIVO Y CENTRAL=100;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=2 Y CENTRAL=100;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=PERMANENCIA DEL EMPLEADO Y CENTRAL=100;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=N.A Y CENTRAL=100;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=1 Y CENTRAL=INDEFINIDO;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=2 Y CENTRAL=INDEFINIDO;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;ANO ACTUAL Y CENTRAL=INDEFINIDO;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=INDEFINIDO Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=ANO ACTUAL Y CENTRAL=CONSERVACION TOTAL;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=PERMANENCIA DEL ESTUDIANTE Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=ANO LECTIVO Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=PERMANENCIA DEL ESTUDIANTE Y PAZ Y SALVO Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=CONSERVACIÓN TOTAL Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=2 Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=VIGENCIA DEL PROVEEDOR Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=PERMANENTE Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=1 Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=VIGENCIA DE LA MATRIZ Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=ANO ACTUAL Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=VIGENCIA DEL ACTA Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=VIGENCIA DE LA CLÁUSULA Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=5 Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=10 Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=VIGENCIA DEL LISTADO Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
FinalDisposition;name;ELIMINAR;Trd;name;GESTION=PERMANENCIA DEL EMPLEADO Y CENTRAL=N.A;;Uno a Muchos Bidirecccional No.5
