From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
Sections;code;GD;Series;name;INFORMES DE RESULTADO DE REVISIÓN POR LA DIRECCIÓN;;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;INFORMES VISITA HERMANO PROVINCIAL;;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;MATRICES DE INDICADORES DEL SISTEMA DE GESTIÓN DE LA CALIDAD;;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;PLANES OPERATIVO ANUAL;;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;INFORMES DE  GESTIÓN O DESEMPEÑO DEL PROCESO;;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;ACTAS DE CONSEJO DIRECTIVO;;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;RESOLUCIONES DE RECTORÍA;;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;CIRCULARES DE RECTORÍA;;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;CRONOGRAMAS DISTRITALES;;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;CRONOGRAMAS INSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;EVALUACIONES INSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;GUÍAS DE AUTOEVALUACIÓN;;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;GUÍAS PARA LA ENTREGA DE UNA OBRA LASALLISTA;;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;CARTAS DE NOMBRAMIENTO DE RECTOR;;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;CONVENIOS INTERINSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;ACTAS - COMITÉ DE COORDINACIÓN;;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;GD - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;GD - CIRCULARES EXTERNAS;;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;FORMULARIOS DE INSCRIPCIÓN;;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;REGISTROS DE RESULTADOS DE ADMISIÓN;;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;HOJAS DE MATRÍCULA;;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;DEVOLUCIONES DE DOCUMENTOS;;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;AUTORIZACIONES RETIRO DE ESTUDIANTES;;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;LISTAS DE CHEQUEO PARA RECEPCIÓN DE DOCUMENTOS PARA LA MATRICULA;;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;CONTRATOS DE PRESTACIÓN DEL SERVICIO EDUCATIVO;;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;LISTADOS DE ESTUDIANTES MATRICULADOS;;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;LISTADOS DE ASPIRANTES INSCRITOS;;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;LISTADOS DE ASPIRANTES ADMITIDOS;;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;PAZ Y SALVOS ESTUDIANTES;;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;LIBROS DE ACTAS DE GRADO;;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;AM - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;AM - CIRCULARES;;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;HORARIOS DE CLASES;;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;REGISTROS DE VALIDACIÓN DE LA PRESTACIÓN DEL SERVICIO EDUCATIVO;;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;CONTROLES DE ACTIVIDADES DE SUPERACIÓN O RECUPERACIÓN;;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;OBSERVADORES DEL ESTUDIANTE;;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;PLANES DE CURSO;;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;CONTROLES DE ATENCIÓN PARA ORIENTACIÓN;;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;AUTORIZACIONES PARA ESTUDIANTES;;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;CITACIONES A PADRES DE FAMILIA;;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;REMISIONES DE ESTUDIANTES A ORIENTACIÓN;;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;HISTORIAS Y SEGUIMIENTOS PSICOLOGÍA;;Uno a Muchos Bidirecccional No.5
