String;String;String;String;String;Series
name;code;located;procedures;dir;
ACTAS;;;;;
AUTORIZACIONES;;;;;
CARTAS;;;;;
CARTERAS;;;;;
CIRCULARES;;;;;
CITACIONES;;;;;
CLAUSULAS;;;;;
COMPARATIVOS;;;;;
COMPORTAMIENTOS;;;;;
COMPROBANTES;;;;;
CONCILIACIONES;;;;;
CONTENIDOS;;;;;
CONTRATOS;;;;;
CONVENIOS;;;;;
CONTROLES;;;;;
CORRESPONDENCIA;;;;;
CRONOGRAMAS;;;;;
DECLARACIONES;;;;;
DEPURACIONES;;;;;
DEVOLUCIONES;;;;;
DOCUMENTOS;;;;;
EJECUCIONES;;;;;
ENCUESTAS;;;;;
ENTRADAS;;;;;
EVALUACIONES;;;;;
FORMATOS;;;;;
FORMULARIOS;;;;;
GU÷AS;;;;;
HISTORIAS;;;;;
HOJAS;;;;;
HOJAS DE VIDA;;;;;
HORARIOS;;;;;
INGRESOS;;;;;
IMPLEMENTACIONES;;;;;
INFORMES;;;;;
INSCRIPCIONES;;;;;
KµRDEX;;;;;
LIBROS;;;;;
LIQUIDACIONES;;;;;
LISTADOS;;;;;
LISTAS;;;;;
MATRICES;;;;;
NOMINAS;;;;;
OBSERVADORES;;;;;
ORDENES;;;;;
PAZ Y SALVOS;;;;;
PLANES;;;;;
PLANILLAS;;;;;
PROTOCOLIZACIONES;;;;;
PROYECTOS;;;;;
QUEJAS;;;;;
RADICACIONES;;;;;
REEVALUACIONES;;;;;
REGISTROS;;;;;
RELACIONES;;;;;
REMISIONES;;;;;
REPORTES;;;;;
REQUISICIONES;;;;;
RESOLUCIONES;;;;;
RESUMENES;;;;;
RETIROS;;;;;
SEGUIMIENTOS;;;;;
SOLICITUDES;;;;;
SOPORTES;;;;;
INFORMES DE RESULTADO DE REVISI‡N POR LA DIRECCI‡N;;;;;
INFORMES VISITA HERMANO PROVINCIAL;;;;;
MATRICES DE INDICADORES DEL SISTEMA DE GESTI‡N DE LA CALIDAD;;;;;
PLANES OPERATIVOS ANUALES;;;;;
INFORMES DE GESTI‡N O DESEMEPE•O DE PROCESO;;;;;
ACTAS DE CONSEJO DIRECTIVO;;;;;
RESOLUCI‡NES DE RECTOR÷A;;;;;
CRONOGRAMAS DISTRITALES;;;;;
CRONOGRAMAS INSTITUCIONALES;;;;;
EVALUACIONES INSTITUCIONALES;;;;;
GUIAS DE AUTOEVALUACI‡N;;;;;
GUIAS PARA LA ENTREGA DE UNA OBRA LASALLISTA;;;;;
CARTAS DE NOMBRAMIENTO DE RECTOR;;;;;
CONVENIOS INTERINSTITUCIONALES;;;;;
ACTAS DEL CONSEJO DE COORDINACI‡N;;;;;
GD-CIRCULAR DE RECTOR÷A;;;;;
GD-CORRESPONDENCIA;;;;;
FORMULARIOS DE INSCRIPCI‡N;;;;;
REGISTROS DE RESULTADOS DE ADMISI‡N;;;;;
HOJAS DE MATR÷CULA;;;;;
DEVOLUCIONES DE DOCUMENTOS;;;;;
