From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
Series;name;INFORMES DE RESULTADO DE REVISIÓN POR LA DIRECCIÓN;DocumentalsUnits;name;INFORME DE RESULTADO DE REVISIÓN POR LA DIRECCIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;INFORMES VISITA HERMANO PROVINCIAL;DocumentalsUnits;name;INFORME VISITA HERMANO PROVINCIAL;;Uno a Muchos Bidirecccional No.5
Series;name;MATRICES DE INDICADORES DEL SISTEMA DE GESTIÓN DE LA CALIDAD;DocumentalsUnits;name;MATRIZ DE INDICADORES DEL SISTEMA DE GESTIÓN DE LA CALIDAD;;Uno a Muchos Bidirecccional No.5
Series;name;PLANES OPERATIVO ANUAL;DocumentalsUnits;name;PLAN OPERATIVO ANUAL;;Uno a Muchos Bidirecccional No.5
Series;name;INFORMES DE  GESTIÓN O DESEMPEÑO DEL PROCESO;DocumentalsUnits;name;INFORME DE  GESTIÓN O DESEMPEÑO DEL PROCESO;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS DE CONSEJO DIRECTIVO;DocumentalsUnits;name;ACTA DE CONSEJO DIRECTIVO;;Uno a Muchos Bidirecccional No.5
Series;name;RESOLUCIONES DE RECTORÍA;DocumentalsUnits;name;RESOLUCIONES DE RECTORÍA;;Uno a Muchos Bidirecccional No.5
Series;name;CIRCULARES DE RECTORÍA;DocumentalsUnits;name;CIRCULARES DE RECTORÍA;;Uno a Muchos Bidirecccional No.5
Series;name;CRONOGRAMAS DISTRITALES;DocumentalsUnits;name;CRONOGRAMA DISTRITAL;;Uno a Muchos Bidirecccional No.5
Series;name;CRONOGRAMAS INSTITUCIONALES;DocumentalsUnits;name;CRONOGRAMA INSTITUCIONAL;;Uno a Muchos Bidirecccional No.5
Series;name;EVALUACIONES INSTITUCIONALES;DocumentalsUnits;name;EVALUACIÓN INSTITUCIONAL;;Uno a Muchos Bidirecccional No.5
Series;name;GUÍAS DE AUTOEVALUACIÓN;DocumentalsUnits;name;GUÍA DE AUTOEVALUACIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;GUÍAS PARA LA ENTREGA DE UNA OBRA LASALLISTA;DocumentalsUnits;name;GUÍA PARA LA ENTREGA DE UNA OBRA LASALLISTA;;Uno a Muchos Bidirecccional No.5
Series;name;CARTAS DE NOMBRAMIENTO DE RECTOR;DocumentalsUnits;name;CARTA DE NOMBRAMIENTO DE RECTOR;;Uno a Muchos Bidirecccional No.5
Series;name;CONVENIOS INTERINSTITUCIONALES;DocumentalsUnits;name;CONVENIOS INTERINSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS - COMITÉ DE COORDINACIÓN;DocumentalsUnits;name;ACTAS - COMITÉ DE COORDINACIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;GD - CORRESPONDENCIA ENVIADA;DocumentalsUnits;name;GD - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
Series;name;GD - CIRCULARES EXTERNAS;DocumentalsUnits;name;GD - CIRCULARES EXTERNAS;;Uno a Muchos Bidirecccional No.5
Series;name;FORMULARIOS DE INSCRIPCIÓN;DocumentalsUnits;name;FORMULARIO DE INSCRIPCIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;REGISTROS DE RESULTADOS DE ADMISIÓN;DocumentalsUnits;name;REGISTRO DE RESULTADOS DE ADMISIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;HOJAS DE MATRÍCULA;DocumentalsUnits;name;HOJA DE MATRÍCULA;;Uno a Muchos Bidirecccional No.5
Series;name;DEVOLUCIONES DE DOCUMENTOS;DocumentalsUnits;name;DEVOLUCIÓN DE DOCUMENTOS;;Uno a Muchos Bidirecccional No.5
Series;name;AUTORIZACIONES RETIRO DE ESTUDIANTES;DocumentalsUnits;name;AUTORIZACIÓN RETIRO DE ESTUDIANTES;;Uno a Muchos Bidirecccional No.5
Series;name;LISTAS DE CHEQUEO PARA RECEPCIÓN DE DOCUMENTOS PARA LA MATRICULA;DocumentalsUnits;name;LISTA DE CHEQUEO PARA RECEPCIÓN DE DOCUMENTOS PARA LA MATRICULA;;Uno a Muchos Bidirecccional No.5
Series;name;CONTRATOS DE PRESTACIÓN DEL SERVICIO EDUCATIVO;DocumentalsUnits;name;CONTRATO DE PRESTACIÓN DEL SERVICIO EDUCATIVO;;Uno a Muchos Bidirecccional No.5
Series;name;LISTADOS DE ESTUDIANTES MATRICULADOS;DocumentalsUnits;name;LISTADO DE ESTUDIANTES MATRICULADOS;;Uno a Muchos Bidirecccional No.5
Series;name;LISTADOS DE ASPIRANTES INSCRITOS;DocumentalsUnits;name;LISTADO DE ASPIRANTES INSCRITOS;;Uno a Muchos Bidirecccional No.5
Series;name;LISTADOS DE ASPIRANTES ADMITIDOS;DocumentalsUnits;name;LISTADOS DE ASPIRANTES ADMITIDOS;;Uno a Muchos Bidirecccional No.5
Series;name;PAZ Y SALVOS ESTUDIANTES;DocumentalsUnits;name;PAZ Y SALVO ESTUDIANTES;;Uno a Muchos Bidirecccional No.5
Series;name;LIBROS DE ACTAS DE GRADO;DocumentalsUnits;name;LIBRO DE ACTAS DE GRADO;;Uno a Muchos Bidirecccional No.5
Series;name;AM - CORRESPONDENCIA ENVIADA;DocumentalsUnits;name;AM - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
Series;name;AM - CIRCULARES;DocumentalsUnits;name;AM - CIRCULARES;;Uno a Muchos Bidirecccional No.5
Series;name;HORARIOS DE CLASES;DocumentalsUnits;name;HORARIO DE CLASES;;Uno a Muchos Bidirecccional No.5
Series;name;REGISTROS DE VALIDACIÓN DE LA PRESTACIÓN DEL SERVICIO EDUCATIVO;DocumentalsUnits;name;REGISTRO DE VALIDACIÓN DE LA PRESTACIÓN DEL SERVICIO EDUCATIVO;;Uno a Muchos Bidirecccional No.5
Series;name;CONTROLES DE ACTIVIDADES DE SUPERACIÓN O RECUPERACIÓN;DocumentalsUnits;name;CONTROL DE ACTIVIDADES DE SUPERACIÓN O RECUPERACIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;OBSERVADORES DEL ESTUDIANTE;DocumentalsUnits;name;OBSERVADOR DEL ESTUDIANTE;;Uno a Muchos Bidirecccional No.5
