From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
Series;name;ACTAS;Series;name;ACTAS - COMITÉ DE COORDINACIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS;Series;name;ACTAS DE APERTURA Y CIERRE DE AUDITORÍA INTERNA;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS;Series;name;ACTAS DE COMISIONES DE EVALUACIÓN Y PROMOCIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS;Series;name;ACTAS DE COMITÉ DE CONVIVENCIA LABORAL;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS;Series;name;ACTAS DE CONSEJO ACADÉMICO;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS;Series;name;ACTAS DE CONSEJO DIRECTIVO;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS;Series;name;ACTAS DE DESCARGOS, CONCILIACIÓN O COMPROMISO;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS;Series;name;ACTAS DE REUNIÓN DEL COMITÉ DE LA CALIDAD;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS;Series;name;ACTAS DE REUNIONES DE COPASST;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS;Series;name;ACTAS REUNIÓN DE DEPARTAMENTO O ÁREA;;Uno a Muchos Bidirecccional No.5
Series;name;CIRCULARES;Series;name;AM - CIRCULARES;;Uno a Muchos Bidirecccional No.5
Series;name;CORRESPONDENCIA;Series;name;AM - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
Series;name;AUTO REGISTROS;Series;name;AUTO REGISTROS DE RETARDOS;;Uno a Muchos Bidirecccional No.5
Series;name;AUTORIZACIONES;Series;name;AUTORIZACIONES PARA ESTUDIANTES;;Uno a Muchos Bidirecccional No.5
Series;name;AUTORIZACIONES;Series;name;AUTORIZACIONES RETIRO DE ESTUDIANTES;;Uno a Muchos Bidirecccional No.5
Series;name;CARTAS;Series;name;CARTAS DE NOMBRAMIENTO DE RECTOR;;Uno a Muchos Bidirecccional No.5
Series;name;CARTERAS;Series;name;CARTERAS ACTUALIZADAS DE COLEGIOS;;Uno a Muchos Bidirecccional No.5
Series;name;CIRCULARES;Series;name;CIRCULARES DE RECTORÍA;;Uno a Muchos Bidirecccional No.5
Series;name;CITACIONES;Series;name;CITACIONES A PADRES DE FAMILIA;;Uno a Muchos Bidirecccional No.5
Series;name;CLAUSULAS;Series;name;CLAUSULAS ESPECIALES DE MATRICULA;;Uno a Muchos Bidirecccional No.5
Series;name;COMPARATIVOS;Series;name;COMPARATIVOS DE OFERTAS;;Uno a Muchos Bidirecccional No.5
Series;name;COMPORTAMIENTOS;Series;name;COMPORTAMIENTOS DE LOS INDICADORES DE GESTIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;COMPROBANTES;Series;name;COMPROBANTES DE EGRESO;;Uno a Muchos Bidirecccional No.5
Series;name;COMPROMISOS;Series;name;COMPROMISOS ACADÉMICO;;Uno a Muchos Bidirecccional No.5
Series;name;COMPROMISOS;Series;name;COMPROMISOS COMPORTAMENTAL;;Uno a Muchos Bidirecccional No.5
Series;name;CONCILIACIONES;Series;name;CONCILIACIONES CUENTAS DE MOROSOS;;Uno a Muchos Bidirecccional No.5
Series;name;CONTENIDOS;Series;name;CONTENIDOS PROGRAMATICOS;;Uno a Muchos Bidirecccional No.5
Series;name;CONTRATOS;Series;name;CONTRATOS DE PRESTACIÓN DEL SERVICIO EDUCATIVO;;Uno a Muchos Bidirecccional No.5
Series;name;CONTRATOS;Series;name;CONTRATOS INDIVIDUALS DE TRABAJO PARA PERSONAL DOCENTE AÑO ESCOLAR;;Uno a Muchos Bidirecccional No.5
Series;name;CONTRATOS;Series;name;CONTRATOS LABORALES;;Uno a Muchos Bidirecccional No.5
Series;name;CONTROLES;Series;name;CONTROLES DE ACTIVIDADES DE SUPERACIÓN O RECUPERACIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;CONTROLES;Series;name;CONTROLES DE ASEO SEMANAL;;Uno a Muchos Bidirecccional No.5
Series;name;CONTROLES;Series;name;CONTROLES DE ASISTENCIA A ACTIVIDADES DE APOYO;;Uno a Muchos Bidirecccional No.5
Series;name;CONTROLES;Series;name;CONTROLES DE ATENCIÓN PARA ORIENTACIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;CONTROLES;Series;name;CONTROLES DE CITACIONES A PADRES DE FAMILIA;;Uno a Muchos Bidirecccional No.5
Series;name;CONTROLES;Series;name;CONTROLES DE MANTENIMIENTO DE LA PISCINA;;Uno a Muchos Bidirecccional No.5
Series;name;CONTROLES;Series;name;CONTROLES DEL SERVICIO NO CONFORME;;Uno a Muchos Bidirecccional No.5
Series;name;CONVENIOS;Series;name;CONVENIOS INTERINSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Series;name;CRONOGRAMAS;Series;name;CRONOGRAMAS DISTRITALES;;Uno a Muchos Bidirecccional No.5
Series;name;CRONOGRAMAS;Series;name;CRONOGRAMAS INSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Series;name;DECLARACIONES;Series;name;DECLARACIONES DE COMPETENCIA;;Uno a Muchos Bidirecccional No.5
Series;name;DEPURACIONES;Series;name;DEPURACIONES DE ARCHIVO;;Uno a Muchos Bidirecccional No.5
Series;name;DEVOLUCIONES;Series;name;DEVOLUCIONES DE ARTÍCULOS;;Uno a Muchos Bidirecccional No.5
Series;name;DEVOLUCIONES;Series;name;DEVOLUCIONES DE DOCUMENTOS;;Uno a Muchos Bidirecccional No.5
Series;name;DOCUMENTOS;Series;name;DOCUMENTOS DEL SISTEMA DE GESTIÓN DE LA SEGURIDAD Y SALUD EN EL TRABAJO;;Uno a Muchos Bidirecccional No.5
Series;name;EJECUCIONES;Series;name;EJECUCIONES PRESUPUESTALES;;Uno a Muchos Bidirecccional No.5
Series;name;ELABORACION;Series;name;ELABORACIÓN, MODIFICACIÓN O ELIMINACIÓN DE DOCUMENTOS DEL SGC;;Uno a Muchos Bidirecccional No.5
Series;name;ENCUESTAS;Series;name;ENCUESTAS DE CLIMA ORGANIZACIONAL;;Uno a Muchos Bidirecccional No.5
Series;name;ENCUESTAS;Series;name;ENCUESTAS DE SATISFACCIÓN DE PADRES DE FAMILIA Y ESTUDIANTES;;Uno a Muchos Bidirecccional No.5
Series;name;ENTRADAS;Series;name;ENTRADAS DE DOCUMENTOS AL ARCHIVO CENTRAL;;Uno a Muchos Bidirecccional No.5
Series;name;EVALUACIONES;Series;name;EVALUACIONES DE ACTIVIDADES D APOYO;;Uno a Muchos Bidirecccional No.5
Series;name;EVALUACIONES;Series;name;EVALUACIONES DE DESEMPEÑO;;Uno a Muchos Bidirecccional No.5
Series;name;EVALUACIONES;Series;name;EVALUACIONES DE DOCENTES;;Uno a Muchos Bidirecccional No.5
Series;name;EVALUACIONES;Series;name;EVALUACIONES DE GESTIÓN DE LA AUDITORÍA;;Uno a Muchos Bidirecccional No.5
Series;name;EVALUACIONES;Series;name;EVALUACIONES DEL SERVICIO DE ASEO Y MANTENIMIENTO;;Uno a Muchos Bidirecccional No.5
Series;name;EVALUACIONES;Series;name;EVALUACIONES DEL SERVICIO DE COMPRAS Y SUMINISTROS;;Uno a Muchos Bidirecccional No.5
Series;name;EVALUACIONES;Series;name;EVALUACIONES INSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Series;name;EVALUACIONES;Series;name;EVALUACIONES Y SELECCIÓN DE PROVEEDORES;;Uno a Muchos Bidirecccional No.5
Series;name;FORMATOS;Series;name;FORMATOS DE ENTREVISTA;;Uno a Muchos Bidirecccional No.5
Series;name;FORMULARIOS;Series;name;FORMULARIOS DE INSCRIPCIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;CIRCULARES;Series;name;GC - CIRCULARES;;Uno a Muchos Bidirecccional No.5
Series;name;CORRESPONDENCIA;Series;name;GC - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
Series;name;REQUISICIONES;Series;name;GC - REQUISICIONES;;Uno a Muchos Bidirecccional No.5
Series;name;CIRCULARES;Series;name;GD - CIRCULARES EXTERNAS;;Uno a Muchos Bidirecccional No.5
Series;name;CORRESPONDENCIA;Series;name;GD - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
Series;name;CIRCULARES;Series;name;GE - CIRCULARES;;Uno a Muchos Bidirecccional No.5
Series;name;CORRESPONDENCIA;Series;name;GE - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
Series;name;CIRCULARES;Series;name;GF - CIRCULARES;;Uno a Muchos Bidirecccional No.5
Series;name;CORRESPONDENCIA;Series;name;GF - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
Series;name;REQUISICIONES;Series;name;GF - REQUISICIÓNES;;Uno a Muchos Bidirecccional No.5
Series;name;CIRCULARES;Series;name;GI - CIRCULARES;;Uno a Muchos Bidirecccional No.5
Series;name;CORRESPONDENCIA;Series;name;GI - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
Series;name;CIRCULARES;Series;name;GQ - CIRCULARES;;Uno a Muchos Bidirecccional No.5
Series;name;CORRESPONDENCIA;Series;name;GQ - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
Series;name;CIRCULARES;Series;name;GT - CIRCULARES;;Uno a Muchos Bidirecccional No.5
Series;name;CORRESPONDENCIA;Series;name;GT - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
