From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
Series;name;INFORMES DE RESULTADO DE REVISIÓN POR LA DIRECCIÓN;TrdSeries;name;INFORMES DE RESULTADO DE REVISIÓN POR LA DIRECCIÓN;       ;Uno a Muchos Bidirecccional No.5
Series;name;INFORMES VISITA HERMANO PROVINCIAL;TrdSeries;name;INFORMES VISITA HERMANO PROVINCIAL;;Uno a Muchos Bidirecccional No.5
Series;name;MATRICES DE INDICADORES DEL SISTEMA DE GESTIÓN DE LA CALIDAD;TrdSeries;name;MATRICES DE INDICADORES DEL SISTEMA DE GESTIÓN DE LA CALIDAD;;Uno a Muchos Bidirecccional No.5
Series;name;PLANES OPERATIVO ANUAL;TrdSeries;name;PLANES OPERATIVO ANUAL;;Uno a Muchos Bidirecccional No.5
Series;name;INFORMES DE  GESTIÓN O DESEMPEÑO DEL PROCESO;TrdSeries;name;INFORMES DE  GESTIÓN O DESEMPEÑO DEL PROCESO;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS DE CONSEJO DIRECTIVO;TrdSeries;name;ACTAS DE CONSEJO DIRECTIVO;;Uno a Muchos Bidirecccional No.5
Series;name;RESOLUCIONES DE RECTORÍA;TrdSeries;name;RESOLUCIONES DE RECTORÍA;;Uno a Muchos Bidirecccional No.5
Series;name;CIRCULARES DE RECTORÍA;TrdSeries;name;CIRCULARES DE RECTORÍA;;Uno a Muchos Bidirecccional No.5
Series;name;CRONOGRAMAS DISTRITALES;TrdSeries;name;CRONOGRAMAS DISTRITALES;;Uno a Muchos Bidirecccional No.5
Series;name;CRONOGRAMAS INSTITUCIONALES;TrdSeries;name;CRONOGRAMAS INSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Series;name;EVALUACIONES INSTITUCIONALES;TrdSeries;name;EVALUACIONES INSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Series;name;GUÍAS DE AUTOEVALUACIÓN;TrdSeries;name;GUÍAS DE AUTOEVALUACIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;GUÍAS PARA LA ENTREGA DE UNA OBRA LASALLISTA;TrdSeries;name;GUÍAS PARA LA ENTREGA DE UNA OBRA LASALLISTA;;Uno a Muchos Bidirecccional No.5
Series;name;CARTAS DE NOMBRAMIENTO DE RECTOR;TrdSeries;name;CARTAS DE NOMBRAMIENTO DE RECTOR;;Uno a Muchos Bidirecccional No.5
Series;name;CONVENIOS INTERINSTITUCIONALES;TrdSeries;name;CONVENIOS INTERINSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS - COMITÉ DE COORDINACIÓN;TrdSeries;name;ACTAS - COMITÉ DE COORDINACIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;GD - CORRESPONDENCIA ENVIADA;TrdSeries;name;GD - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
Series;name;GD - CIRCULARES EXTERNAS;TrdSeries;name;GD - CIRCULARES EXTERNAS;;Uno a Muchos Bidirecccional No.5
Series;name;FORMULARIOS DE INSCRIPCIÓN;TrdSeries;name;FORMULARIOS DE INSCRIPCIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;REGISTROS DE RESULTADOS DE ADMISIÓN;TrdSeries;name;REGISTROS DE RESULTADOS DE ADMISIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;HOJAS DE MATRÍCULA;TrdSeries;name;HOJAS DE MATRÍCULA;;Uno a Muchos Bidirecccional No.5
Series;name;DEVOLUCIONES DE DOCUMENTOS;TrdSeries;name;DEVOLUCIONES DE DOCUMENTOS;;Uno a Muchos Bidirecccional No.5
Series;name;AUTORIZACIONES RETIRO DE ESTUDIANTES;TrdSeries;name;AUTORIZACIONES RETIRO DE ESTUDIANTES;;Uno a Muchos Bidirecccional No.5
Series;name;LISTAS DE CHEQUEO PARA RECEPCIÓN DE DOCUMENTOS PARA LA MATRICULA;TrdSeries;name;LISTAS DE CHEQUEO PARA RECEPCIÓN DE DOCUMENTOS PARA LA MATRICULA;;Uno a Muchos Bidirecccional No.5
Series;name;CONTRATOS DE PRESTACIÓN DEL SERVICIO EDUCATIVO;TrdSeries;name;CONTRATOS DE PRESTACIÓN DEL SERVICIO EDUCATIVO;;Uno a Muchos Bidirecccional No.5
Series;name;LISTADOS DE ESTUDIANTES MATRICULADOS;TrdSeries;name;LISTADOS DE ESTUDIANTES MATRICULADOS;;Uno a Muchos Bidirecccional No.5
Series;name;LISTADOS DE ASPIRANTES INSCRITOS;TrdSeries;name;LISTADOS DE ASPIRANTES INSCRITOS;;Uno a Muchos Bidirecccional No.5
Series;name;LISTADOS DE ASPIRANTES ADMITIDOS;TrdSeries;name;LISTADOS DE ASPIRANTES ADMITIDOS;;Uno a Muchos Bidirecccional No.5
Series;name;PAZ Y SALVOS ESTUDIANTES;TrdSeries;name;PAZ Y SALVOS ESTUDIANTES;;Uno a Muchos Bidirecccional No.5
Series;name;LIBROS DE ACTAS DE GRADO;TrdSeries;name;LIBROS DE ACTAS DE GRADO;;Uno a Muchos Bidirecccional No.5
Series;name;AM - CORRESPONDENCIA ENVIADA;TrdSeries;name;AM - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
Series;name;AM - CIRCULARES;TrdSeries;name;AM - CIRCULARES;;Uno a Muchos Bidirecccional No.5
Series;name;HORARIOS DE CLASES;TrdSeries;name;HORARIOS DE CLASES;;Uno a Muchos Bidirecccional No.5
Series;name;REGISTROS DE VALIDACIÓN DE LA PRESTACIÓN DEL SERVICIO EDUCATIVO;TrdSeries;name;REGISTROS DE VALIDACIÓN DE LA PRESTACIÓN DEL SERVICIO EDUCATIVO;;Uno a Muchos Bidirecccional No.5
Series;name;CONTROLES DE ACTIVIDADES DE SUPERACIÓN O RECUPERACIÓN;TrdSeries;name;CONTROLES DE ACTIVIDADES DE SUPERACIÓN O RECUPERACIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;OBSERVADORES DEL ESTUDIANTE;TrdSeries;name;OBSERVADORES DEL ESTUDIANTE;;Uno a Muchos Bidirecccional No.5
Series;name;PLANES DE CURSO;TrdSeries;name;PLANES DE CURSO;;Uno a Muchos Bidirecccional No.5
Series;name;CONTROLES DE ATENCIÓN PARA ORIENTACIÓN;TrdSeries;name;CONTROLES DE ATENCIÓN PARA ORIENTACIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;AUTORIZACIONES PARA ESTUDIANTES;TrdSeries;name;AUTORIZACIONES PARA ESTUDIANTES;;Uno a Muchos Bidirecccional No.5
Series;name;CITACIONES A PADRES DE FAMILIA;TrdSeries;name;CITACIONES A PADRES DE FAMILIA;;Uno a Muchos Bidirecccional No.5
Series;name;REMISIONES DE ESTUDIANTES A ORIENTACIÓN;TrdSeries;name;REMISIONES DE ESTUDIANTES A ORIENTACIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;HISTORIAS Y SEGUIMIENTOS PSICOLOGÍA;TrdSeries;name;HISTORIAS Y SEGUIMIENTOS PSICOLOGÍA;;Uno a Muchos Bidirecccional No.5
Series;name;PLANES DE ÁREA;TrdSeries;name;PLANES DE ÁREA;;Uno a Muchos Bidirecccional No.5
Series;name;PLANES DE ASIGNATURA;TrdSeries;name;PLANES DE ASIGNATURA;;Uno a Muchos Bidirecccional No.5
Series;name;PROYECTOS PEDAGÓGICO;TrdSeries;name;PROYECTOS PEDAGÓGICO;;Uno a Muchos Bidirecccional No.5
Series;name;COMPROMISOS ACADÉMICO;TrdSeries;name;COMPROMISOS ACADÉMICO;;Uno a Muchos Bidirecccional No.5
Series;name;COMPROMISOS COMPORTAMENTAL;TrdSeries;name;COMPROMISOS COMPORTAMENTAL;;Uno a Muchos Bidirecccional No.5
Series;name;AUTO REGISTROS DE RETARDOS;TrdSeries;name;AUTO REGISTROS DE RETARDOS;;Uno a Muchos Bidirecccional No.5
Series;name;CONTENIDOS PROGRAMATICOS;TrdSeries;name;CONTENIDOS PROGRAMATICOS;;Uno a Muchos Bidirecccional No.5
Series;name;CONTROLES DE CITACIONES A PADRES DE FAMILIA;TrdSeries;name;CONTROLES DE CITACIONES A PADRES DE FAMILIA;;Uno a Muchos Bidirecccional No.5
Series;name;REGISTROS DE NORMALIZACIÓN;TrdSeries;name;REGISTROS DE NORMALIZACIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;CONTROLES DE ASISTENCIA A ACTIVIDADES DE APOYO;TrdSeries;name;CONTROLES DE ASISTENCIA A ACTIVIDADES DE APOYO;;Uno a Muchos Bidirecccional No.5
Series;name;EVALUACIONES DE ACTIVIDADES D APOYO;TrdSeries;name;EVALUACIONES DE ACTIVIDADES D APOYO;;Uno a Muchos Bidirecccional No.5
Series;name;INFORMES PERIÓDICOS DE PSICOLOGÍA A COORDINACIÓN;TrdSeries;name;INFORMES PERIÓDICOS DE PSICOLOGÍA A COORDINACIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;CLAUSULAS ESPECIALES DE MATRICULA;TrdSeries;name;CLAUSULAS ESPECIALES DE MATRICULA;;Uno a Muchos Bidirecccional No.5
Series;name;PROYECTOS DE AULA PRE-ESCOLAR;TrdSeries;name;PROYECTOS DE AULA PRE-ESCOLAR;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS DE COMISIONES DE EVALUACIÓN Y PROMOCIÓN;TrdSeries;name;ACTAS DE COMISIONES DE EVALUACIÓN Y PROMOCIÓN;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS DE CONSEJO ACADÉMICO;TrdSeries;name;ACTAS DE CONSEJO ACADÉMICO;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS REUNIÓN DE DEPARTAMENTO O ÁREA;TrdSeries;name;ACTAS REUNIÓN DE DEPARTAMENTO O ÁREA;;Uno a Muchos Bidirecccional No.5
Series;name;LIBROS DE CALIFICACIONES FINAL;TrdSeries;name;LIBROS DE CALIFICACIONES FINAL;;Uno a Muchos Bidirecccional No.5
Series;name;GE - CORRESPONDENCIA ENVIADA;TrdSeries;name;GE - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
Series;name;GE - CIRCULARES;TrdSeries;name;GE - CIRCULARES;;Uno a Muchos Bidirecccional No.5
Series;name;SOLICITUDES DE PERSONAL;TrdSeries;name;SOLICITUDES DE PERSONAL;;Uno a Muchos Bidirecccional No.5
Series;name;FORMATOS DE ENTREVISTA;TrdSeries;name;FORMATOS DE ENTREVISTA;;Uno a Muchos Bidirecccional No.5
