From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;INFORMES DE RESULTADO DE REVISIÓN POR LA DIRECCIÓN;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;INFORMES VISITA HERMANO PROVINCIAL;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=VIGENCIA DE LA MATRIZ Y CENTRAL=N.A;TrdSeries;name;MATRICES DE INDICADORES DEL SISTEMA DE GESTIÓN DE LA CALIDAD;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;PLANES OPERATIVO ANUAL;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;INFORMES DE  GESTIÓN O DESEMPEÑO DEL PROCESO;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=1 Y CENTRAL=INDEFINIDO;TrdSeries;name;ACTAS DE CONSEJO DIRECTIVO;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=INDEFINIDO;TrdSeries;name;RESOLUCIONES DE RECTORÍA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;CIRCULARES DE RECTORÍA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;CRONOGRAMAS DISTRITALES;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;CRONOGRAMAS INSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;EVALUACIONES INSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;GUÍAS DE AUTOEVALUACIÓN;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=PERMANENCIA DEL RECTOR Y CENTRAL=5;TrdSeries;name;GUÍAS PARA LA ENTREGA DE UNA OBRA LASALLISTA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=PERMANENCIA DEL RECTOR Y CENTRAL=N.A;TrdSeries;name;CARTAS DE NOMBRAMIENTO DE RECTOR;;Uno a Muchos Bidirecccional No.5
