orden;sections;trd;subject;code;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
1.0;AM;N.A;2016-F-AM-01-FORMULARIO DE INSCRIPCIÓN;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
2.0;AM;N.A;2016-F-AM-02-REGISTRO DE RESULTADOS DE ADMISIÓN;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
3.0;AM;50 AÑOS;2016-F-AM-04-HOJA DE MATRÍCULA;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
4.0;AM;5 AÑOS;2016-F-AM-05-DEVOLUCIÓN DE DOCUMENTOS;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
5.0;AM;5 AÑOS;2016-F-AM-06-AUTORIZACIÓN RETIRO DE ESTUDIANTES;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
6.0;AM;N.A;2016-L-AM-01-LISTA DE CHEQUEO PARA RECEPCIÓN DE DOCUMENTOS PARA LA MATRICULA;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
7.0;AM;N.A;2016-N.A-CONTRATO DE PRESTACIÓN DEL SERVICIO EDUCATIVO;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
8.0;AM;N.A;2016-N.A-LISTADO DE ESTUDIANTES MATRICULADOS;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
9.0;AM;N.A;2016-N.A-LISTADO DE ASPIRANTES INSCRITOS;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
10.0;AM;N.A;2016-N.A-LISTADOS DE ASPIRANTES ADMITIDOS;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
11.0;AM;N.A;2016-N.A-PAZ Y SALVO ESTUDIANTES;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
12.0;AM;N.A;2016-N.A-LIBRO DE ACTAS DE GRADO;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
13.0;AM;5 AÑOS;2016-N.A-AM - CORRESPONDENCIA ENVIADA;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
14.0;AM;5 AÑOS;2016-N.A-AM - CIRCULARES;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
