orden;sections;trd;subject;code;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
3.0;GE;5 AÑOS;2016-F-GE-04-CONTROL DE ACTIVIDADES DE SUPERACIÓN O RECUPERACIÓN;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
4.0;GE;15 AÑOS;2016-F-GE-05-OBSERVADOR DEL ESTUDIANTE;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
5.0;GE;3 AÑOS;2016-F-GE-06-PLAN DE CURSO;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
6.0;GE;2 AÑOS;2016-F-GE-07-CONTROL DE ATENCIÓN PARA ORIENTACIÓN;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
7.0;GE;2 AÑOS;2016-F-GE-08-AUTORIZACIÓN PARA ESTUDIANTES;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
8.0;GE;2 AÑOS;2016-F-GE-10-CITACIÓN A PADRES DE FAMILIA;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
9.0;GE;2 AÑOS;2016-F-GE-11-REMISIÓN DE ESTUDIANTES A ORIENTACIÓN;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
10.0;GE;5 AÑOS;2016-F-GE-12-HISTORIA Y SEGUIMIENTO PSICOLOGÍA;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
11.0;GE;5 AÑOS;2016-L-GE-14-PLAN DE ÁREA;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
12.0;GE;5 AÑOS;2016-L-GE-04-PLAN DE ASIGNATURA;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
13.0;GE;5 AÑOS;2016-L-GE-15-PROYECTO PEDAGÓGICO;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
14.0;GE;15 AÑOS;2016-L-GE-07-COMPROMISO ACADÉMICO;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
15.0;GE;15 AÑOS;2016-L-GE-08-COMPROMISO COMPORTAMENTAL;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
16.0;GE;N.A;2016-L-GE-01-AUTO REGISTRO DE RETARDOS;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
17.0;GE;5 AÑOS;2016-L-GE-02-CONTENIDOS PROGRAMATICOS;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
18.0;GE;N.A;2016-L-GE-03-CONTROL DE CITACIONES A PADRES DE FAMILIA;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
19.0;GE;N.A;2016-L-GE-06-REGISTRO DE NORMALIZACIÓN;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
20.0;GE;N.A;2016-L-GE-10-CONTROL DE ASISTENCIA A ACTIVIDADES DE APOYO;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
21.0;GE;N.A;2016-L-GE-11-EVALUACIÓN DE ACTIVIDADES D APOYO;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
22.0;GE;N.A;2016-L-GE12-INFORME PERIÓDICO DE PSICOLOGÍA A COORDINACIÓN;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
23.0;GE;N.A;2016-L-GE-09-CLAUSULA ESPECIAL DE MATRICULA;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
24.0;GE;5 AÑOS;2016-L-GE-16-PROYECTOS DE AULA PRE-ESCOLAR;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
25.0;GE;15 AÑOS;2016-N.A-ACTAS (COMISIÓN DE EVALUACIÓN Y PROMOCIÓN);2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
26.0;GE;INDEFINIDO;2016-N.A-ACTAS (CONSEJO ACADÉMICO);2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
27.0;GE;5 AÑOS;2016-N.A-ACTAS (REUNIÓN DE DEPARTAMENTO O ÁREA);2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
28.0;GE;N.A;2016-N.A-LIBRO DE CALIFICACIONES FINAL;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
29.0;GE;5 AÑOS;2016-N.A-GE - CORRESPONDENCIA ENVIADA;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
30.0;GE;5 AÑOS;2016-N.A-GE - CIRCULARES;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
1.0;GE;3 AÑOS;2016-F-GE-01-HORARIO DE CLASES;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
2.0;GE;5 AÑOS;2016-F-GE-03-REGISTRO DE VALIDACIÓN DE LA PRESTACIÓN DEL SERVICIO EDUCATIVO;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
