orden;sections;trd;subject;code;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
7.0;GF;N.A;2016-N.A-COMPROBANTES DE EGRESO;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
8.0;GF;N.A;2016-N.A-SOPORTES COMPROBANTES DE EGRESO;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
9.0;GF;5 AÑOS;2016-N.A-GF - CORRESPONDENCIA ENVIADA;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
10.0;GF;5 AÑOS;2016-N.A-GF - CIRCULARES;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
1.0;GF;N.A;2016-F-GF-01*-EJECUCIÓN PRESUPUESTAL;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
2.0;GF;N.A;2016-F-GF-08*-GF - REQUISICIÓN;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
3.0;GF;N.A;2016-F-GF-17*-CARTERA ACTUALIZADA COLEGIOS;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
4.0;GF;N.A;2016-F-GF-18*-CONCILIACIÓN CUENTA MOROSOS;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
5.0;GF;N.A;2016-F-GF-19*-RESUMEN DE CARTERA MOROSA;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
6.0;GF;N.A;2016-L-GF-01-PLANILLA DIARIA DE VENTAS EN CAFETERÍA;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
