";";;;
String;String;Double;ConstructionMaterials
code;name;price;
201;Material Seleccionado;;
202;Dinamita;;
203;fulminante;;
204;Mecha de seguridad;;
205;Cordon Detonante;;
301;Cemento gris     ;;
302;Cemento blanco ;;
303;Agua;;
304;Arena  ;;
305;Revuelto ;;
306;Triturado ;;
307;Gravilla No. 2;;
308;Lija de agua No. 100;;
309;Acido Ox†lico;;
310;Cera;;
311;Mortero 1:2 normal;;
312;Mortero 1:3 normal;;
313;Mortero 1:4 normal;;
319;Acero de refuerzo PDR 60;;
322;"Hierro A-37     , D = 3/8 """;;
323;Concreto 1500 Psi trit 1 1/2  ;;
324;Concreto 2500 Psi trit    3/4;;
325;Concreto 2500 Psi trit 1 1/2;;
326;Concreto 3000 Psi trit    3/4;;
327;"Concreto 3000 Psi trit 3/8 """;;
328;Concreto Simple  f'c = 210 Kg/cm˝;;
329;Concreto Simple  f'c = 105 Kg/cm˝;;
330;Concreto Simple  f'c = 175 Kg/cm˝;;
332;Puntilla;;
333;Piedra raj¢n;;
334;Piedra Bolo;;
335;Gravilla No. 2;;
402;Caset¢n Ecol¢gico;;
403;Malla Electrosoldada M - 024;;
404;Alambre Negro No. 18;;
405;Formaleta Columnas;;
406;Formaleta Mes¢n en Concreto Lavamanos Corrido;;
407;Formaleta Losa E = 40 cm.;;
408;Formaleta Losa E = 30 - 25;;
409;Formaleta Placa Maciza;;
410;Formaleta ;;
413;Servicio de Bombeo de concreto;;
414;A.C.P.M;;
415;Tela asfaltica TELAFLEX  (del rollo);;
419;Manto Impermeable;;
420;1/4 imprimante;;
421;Formaleta  ;;
422;Formaleta Dintel;;
423;Formaleta ;;
501;Formaletas Caja de Inspecci¢n 50 - 60;;
502;Formaletas Caja de Inspecci¢n 80 - 90;;
503;Accesorios, Limpiador y soldadura f = 2'';;
504;Accesorios, Limpiador y soldadura  f = 3'';;
505;Accesorios, Limpiador y soldadura  f = 4'';;
506;Accesorios, Limpiador y soldadura Punto Sanitario  f = 3'';;
507;Accesorios, Limpiador y soldadura Punto Sanitario  f = 4'';;
508;Accesorios, Limpiador y soldadura  f = 1/2'' RDE 9;;
509;Accesorios, Limpiador y soldadura  f = 3/4'' RDE 11;;
510;Accesorios, Limpiador y soldadura Punto Hidr†ulico PVC f = 1/2'';;
511;Tuber°a PVC Sanitaria f = 2'';;
512;Tuber°a PVC Sanitaria f = 3'';;
513;Tuber°a PVC Sanitaria f = 4'';;
514;Tuber°a PVC 2'' Agua Lluvia (ventilaci¢n);;
515;Tuber°a PVC 3'' Agua Lluvia;;
516;Tuber°a PVC 4'' Agua Lluvia;;
517;Tuber°a PVC 1/2'' RDE 9 (presi¢n);;
518;Tuber°a PVC 3/4'' RDE 11;;
519;Tragante con sosco f = 4'';;
520;Tragante con sosco f = 3'';;
521;Rejilla con sosco de aluminio 3 x 2'';;
522;Rejilla con sosco de aluminio4 x 3'';;
523;Materiales Conexi¢n Domiciliario;;
524;Accesorios, Limpiador y soldadura Punto Sanitario  f = 2'';;
525;Accesorios, Limpiador y soldadura Punto Sanitario  f = 3/4'';;
526;Tuberia de Gress de 6'';;
527;Accesorios varios para instalaci¢n de tuber°a;;
528;Rejilla con sosco de aluminio 6 x 4'';;
529;"Tubo de Gres de 10""";;
530;"Tubo de Gres de 12""";;
531;"Tubo de Gres de 3""";;
532;"Tubo de Gres de 4""";;
533;Tuberia de Gress de 8'';;
534;Materiales Conexi¢n Pozos;;
535;"Tubo en Concreto Reforzado ù=36""";;
601;Ducteria ;;
602;Ducteria Salida T.V;;
603;Ducteria Salida TelÇfono;;
604;Ducteria Subacometida ElÇctrica;;
605;Cableado;;
606;Cableado Tomacorriente Especial 110V;;
607;CableadoSalida para T.V ;;
608;CableadoSalida para TelÇfono;;
609;Cableado  Subacometida ElÇctrica;;
610;Cinta;;
611;Cinta Subacometida ElÇctrica;;
612;Cinta TomaC Especial 110V;;
613;Accesorios ElÇctricos Salida Normal;;
614;Accesorios ElÇctricos Salida Tomacorriente Doble;;
615;Accesorios ElÇctricos Tomacorriente Especial 110 V;;
616;Accesorios Salida T.V;;
617;Accesorios Salida TelÇfono;;
618;Toma Corriente Polo aTierra;;
619;Toma Corriente Especial 220 V;;
620;Sistema General de polo aTIerra;;
621;Tablero Monof†sico 8 puestos;;
622;Protecci¢n 1 x 15 A;;
623;Lampara de 2x 48;;
624;Lampara de 2x 96;;
625;Lampara de Sodio Tipo Hongo;;
626;Materiales Varios ;;
627;Materiales Varios ;;
628;Reflector de mercurio de 400w ;;
629;"Lampara AP de sodio de 150  W en tubo de perforaciïn de 2"" X 45 m";;
630;Reflector de sodio de 250 W;;
631;"Poste metÖlico de Perforaciïn de L12m D= 4""";;
632;Luminaria de sodio de 150 W;;
633;Caja Subterranea de Paso 30 X 30 cm;;
634;Caja de Inspecciïn Fundida 30 X 30;;
635;Tablero General de 18 circuitos;;
636;Lampara Ornamental Tipo Colonial - doble (seg£n dise§o);;
701;Ladrillo H - 15;;
702;Ladrillo H - 10;;
703;Ladrillo Hollman multiperforado;;
704;Ladrillo Temosa;;
705;Ladrillo T-1 o Tolete;;
706;Ladrillo Tipo Alfag°a ST para bordillos;;
