";";;;
String;String;Double;ConstructionMaterials
code;name;price;
201;Material Seleccionado;0,0;
202;Dinamita;0,0;
203;fulminante;0,0;
204;Mecha de seguridad;0,0;
205;Cordon Detonante;0,0;
301;Cemento gris     ;0,0;
302;Cemento blanco ;0,0;
303;Agua;0,0;
304;Arena  ;0,0;
305;Revuelto ;0,0;
306;Triturado ;0,0;
307;Gravilla No. 22;0,0;
308;Lija de agua No. 100;0,0;
309;Acido Oxˇlico;0,0;
310;Cera;0,0;
311;Mortero 1:2 normal;0,0;
312;Mortero 1:3 normal;0,0;
313;Mortero 1:4 normal;0,0;
319;Acero de refuerzo PDR 60;0,0;
322;"Hierro A-37     , D = 3/8 """;0,0;
323;Concreto 1500 Psi trit 1 1/2  ;0,0;
324;Concreto 2500 Psi trit    3/4;0,0;
325;Concreto 2500 Psi trit 1 1/2;0,0;
326;Concreto 3000 Psi trit    3/4;0,0;
327;"Concreto 3000 Psi trit 3/8 """;0,0;
328;Concreto Simple  f'c = 210 Kg/cmÏ;0,0;
329;Concreto Simple  f'c = 105 Kg/cmÏ;0,0;
330;Concreto Simple  f'c = 175 Kg/cmÏ;0,0;
332;Puntilla;0,0;
333;Piedra rajΩn;0,0;
334;Piedra Bolo;0,0;
335;Gravilla No. 2;0,0;
402;CasetΩn EcolΩgico;0,0;
403;Malla Electrosoldada M - 024;0,0;
404;Alambre Negro No. 18;0,0;
405;Formaleta Columnas;0,0;
406;Formaleta MesΩn en Concreto Lavamanos Corrido;0,0;
407;Formaleta Losa E = 40 cm.;0,0;
408;Formaleta Losa E = 30 - 25;0,0;
409;Formaleta Placa Maciza;0,0;
410;Formaleta1;0,0;
413;Servicio de Bombeo de concreto;0,0;
414;A.C.P.M;0,0;
415;Tela asfaltica TELAFLEX  (del rollo);0,0;
419;Manto Impermeable;0,0;
420;1/4 imprimante;0,0;
421;Formaleta2;0,0;
422;Formaleta Dintel;0,0;
423;Formaleta3;0,0;
501;Formaletas Caja de InspecciΩn 50 - 60;0,0;
502;Formaletas Caja de InspecciΩn 80 - 90;0,0;
503;Accesorios, Limpiador y soldadura f = 2'';0,0;
504;Accesorios, Limpiador y soldadura  f = 3'';0,0;
505;Accesorios, Limpiador y soldadura  f = 4'';0,0;
506;Accesorios, Limpiador y soldadura Punto Sanitario  f = 3'';0,0;
507;Accesorios, Limpiador y soldadura Punto Sanitario  f = 4'';0,0;
508;Accesorios, Limpiador y soldadura  f = 1/2'' RDE 9;0,0;
509;Accesorios, Limpiador y soldadura  f = 3/4'' RDE 11;0,0;
510;Accesorios, Limpiador y soldadura Punto Hidrˇulico PVC f = 1/2'';0,0;
511;Tuber≠a PVC Sanitaria f = 2'';0,0;
512;Tuber≠a PVC Sanitaria f = 3'';0,0;
513;Tuber≠a PVC Sanitaria f = 4'';0,0;
514;Tuber≠a PVC 2'' Agua Lluvia (ventilaciΩn);0,0;
515;Tuber≠a PVC 3'' Agua Lluvia;0,0;
516;Tuber≠a PVC 4'' Agua Lluvia;0,0;
517;Tuber≠a PVC 1/2'' RDE 9 (presiΩn);0,0;
518;Tuber≠a PVC 3/4'' RDE 11;0,0;
519;Tragante con sosco f = 4'';0,0;
520;Tragante con sosco f = 3'';0,0;
521;Rejilla con sosco de aluminio 3 x 2'';0,0;
522;Rejilla con sosco de aluminio4 x 3'';0,0;
523;Materiales ConexiΩn Domiciliario;0,0;
524;Accesorios, Limpiador y soldadura Punto Sanitario  f = 2'';0,0;
525;Accesorios, Limpiador y soldadura Punto Sanitario  f = 3/4'';0,0;
526;Tuberia de Gress de 6'';0,0;
527;Accesorios varios para instalaciΩn de tuber≠a;0,0;
