cvNumber;code;inventoryCode;serial;eanCode;located
R01;R01;R01;R01;R01;R01
R02;R02;R02;R02;R02;R02
R03;R03;R03;R03;R03;R03
R04;R04;R04;R04;R04;R04
R05;R05;R05;R05;R05;R05
R06;R06;R06;R06;R06;R06
R07;R07;R07;R07;R07;R07
R08;R08;R08;R08;R08;R08
R09;R09;R09;R09;R09;R09
R10;R10;R10;R10;R10;R10
R11;R11;R11;R11;R11;R11
R01PP1;R01PP1;R01PP1;R01PP1;R01PP1;R01PP1
R02PP1;R02PP1;R02PP1;R02PP1;R02PP1;R02PP1
R03PP1;R03PP1;R03PP1;R03PP1;R03PP1;R03PP1
R04PP1;R04PP1;R04PP1;R04PP1;R04PP1;R04PP1
R05PP1;R05PP1;R05PP1;R05PP1;R05PP1;R05PP1
R06PP1;R06PP1;R06PP1;R06PP1;R06PP1;R06PP1
R07PP1;R07PP1;R07PP1;R07PP1;R07PP1;R07PP1
R08PP1;R08PP1;R08PP1;R08PP1;R08PP1;R08PP1
R09PP1;R09PP1;R09PP1;R09PP1;R09PP1;R09PP1
R10PP1;R10PP1;R10PP1;R10PP1;R10PP1;R10PP1
R11PP1;R11PP1;R11PP1;R11PP1;R11PP1;R11PP1
