From;FromProperty;FromValue;To;ToProperty;ToValue;Cardinalities
Items;serial;R01;Hosts;name;R01;Uno a Muchos Bidirecccional No.5
Items;serial;R02;Hosts;name;R02;Uno a Muchos Bidirecccional No.5
Items;serial;R03;Hosts;name;R03;Uno a Muchos Bidirecccional No.5
Items;serial;R04;Hosts;name;R04;Uno a Muchos Bidirecccional No.5
Items;serial;R05;Hosts;name;R05;Uno a Muchos Bidirecccional No.5
Items;serial;R06;Hosts;name;R06;Uno a Muchos Bidirecccional No.5
Items;serial;R07;Hosts;name;R07;Uno a Muchos Bidirecccional No.5
Items;serial;R08;Hosts;name;R08;Uno a Muchos Bidirecccional No.5
Items;serial;R09;Hosts;name;R09;Uno a Muchos Bidirecccional No.5
Items;serial;R10;Hosts;name;R10;Uno a Muchos Bidirecccional No.5
Items;serial;R11;Hosts;name;R11;Uno a Muchos Bidirecccional No.5
Items;serial;R12;Hosts;name;R12;Uno a Muchos Bidirecccional No.5
Items;serial;R13;Hosts;name;R13;Uno a Muchos Bidirecccional No.5
Items;serial;R14;Hosts;name;R14;Uno a Muchos Bidirecccional No.5
Items;serial;R01SW1;Hosts;name;R01SW1;Uno a Muchos Bidirecccional No.5
Items;serial;R02SW1;Hosts;name;R02SW1;Uno a Muchos Bidirecccional No.5
Items;serial;R03SW1;Hosts;name;R03SW1;Uno a Muchos Bidirecccional No.5
Items;serial;R04SW1;Hosts;name;R04SW1;Uno a Muchos Bidirecccional No.5
Items;serial;R05SW1;Hosts;name;R05SW1;Uno a Muchos Bidirecccional No.5
Items;serial;R06SW1;Hosts;name;R06SW1;Uno a Muchos Bidirecccional No.5
Items;serial;R07SW1;Hosts;name;R07SW1;Uno a Muchos Bidirecccional No.5
Items;serial;R08SW1;Hosts;name;R08SW1;Uno a Muchos Bidirecccional No.5
Items;serial;R09SW1;Hosts;name;R09SW1;Uno a Muchos Bidirecccional No.5
Items;serial;R10SW1;Hosts;name;R10SW1;Uno a Muchos Bidirecccional No.5
Items;serial;R11SW1;Hosts;name;R11SW1;Uno a Muchos Bidirecccional No.5
Items;serial;R12SW1;Hosts;name;R12SW1;Uno a Muchos Bidirecccional No.5
Items;serial;R13SW1;Hosts;name;R13SW1;Uno a Muchos Bidirecccional No.5
Items;serial;R14SW1;Hosts;name;R14SW1;Uno a Muchos Bidirecccional No.5
Items;serial;R01PP1;Hosts;name;R01PP1;Uno a Muchos Bidirecccional No.5
Items;serial;R01PP2;Hosts;name;R01PP2;Uno a Muchos Bidirecccional No.5
Items;serial;R02PP1;Hosts;name;R02PP1;Uno a Muchos Bidirecccional No.5
Items;serial;R02PP2;Hosts;name;R02PP2;Uno a Muchos Bidirecccional No.5
Items;serial;R03PP1;Hosts;name;R03PP1;Uno a Muchos Bidirecccional No.5
Items;serial;R03PP2;Hosts;name;R03PP2;Uno a Muchos Bidirecccional No.5
Items;serial;R04PP1;Hosts;name;R04PP1;Uno a Muchos Bidirecccional No.5
Items;serial;R05PP1;Hosts;name;R05PP1;Uno a Muchos Bidirecccional No.5
Items;serial;R06PP1;Hosts;name;R06PP1;Uno a Muchos Bidirecccional No.5
Items;serial;R07PP1;Hosts;name;R07PP1;Uno a Muchos Bidirecccional No.5
Items;serial;R08PP1;Hosts;name;R08PP1;Uno a Muchos Bidirecccional No.5
