From;FromProperty;FromValue;To;ToProperty;ToValue;Cardinalities
HostsTypes;name;RACKS;Hosts;name;R01;Uno a Muchos Bidirecccional No.5
HostsTypes;name;RACKS;Hosts;name;R02;Uno a Muchos Bidirecccional No.5
HostsTypes;name;RACKS;Hosts;name;R03;Uno a Muchos Bidirecccional No.5
HostsTypes;name;RACKS;Hosts;name;R04;Uno a Muchos Bidirecccional No.5
HostsTypes;name;RACKS;Hosts;name;R05;Uno a Muchos Bidirecccional No.5
HostsTypes;name;RACKS;Hosts;name;R06;Uno a Muchos Bidirecccional No.5
HostsTypes;name;RACKS;Hosts;name;R07;Uno a Muchos Bidirecccional No.5
HostsTypes;name;RACKS;Hosts;name;R08;Uno a Muchos Bidirecccional No.5
HostsTypes;name;RACKS;Hosts;name;R09;Uno a Muchos Bidirecccional No.5
HostsTypes;name;RACKS;Hosts;name;R10;Uno a Muchos Bidirecccional No.5
HostsTypes;name;RACKS;Hosts;name;R11;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PATCH PANEL;Hosts;name;R01PP1;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PATCH PANEL;Hosts;name;R02PP1;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PATCH PANEL;Hosts;name;R03PP1;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PATCH PANEL;Hosts;name;R04PP1;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PATCH PANEL;Hosts;name;R05PP1;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PATCH PANEL;Hosts;name;R06PP1;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PATCH PANEL;Hosts;name;R07PP1;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PATCH PANEL;Hosts;name;R08PP1;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PATCH PANEL;Hosts;name;R09PP1;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PATCH PANEL;Hosts;name;R10PP1;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PATCH PANEL;Hosts;name;R11PP1;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LZ5;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LZP;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200M09;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LX1;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LXY;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LZR;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LZL;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LZT;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200M07;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LXX;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LWN;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200M0B;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LXV;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200M3K;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LZM;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LY5;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LY1;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LWR;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LZD;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LYB;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LXT;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LYS;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LX7;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LWJ;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LZQ;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LYY;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LZ2;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LX9;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LZC;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LZK;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LXJ;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LX5;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LY3;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LZG;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LX2;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LY8;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LYJ;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LXD;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LYD;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LYW;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LZW;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LXF;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200M01;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LXQ;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LYH;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LYK;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LYQ;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LYR;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LYM;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LY2;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LWM;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LXL;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200M3J;Uno a Muchos Bidirecccional No.5
HostsTypes;name;PC;Hosts;name;MXL3200LXZ;Uno a Muchos Bidirecccional No.5
