port;code
R01SW1-01;R01SW1-01
R01SW1-02;R01SW1-02
R01SW1-03;R01SW1-03
R01SW1-04;R01SW1-04
R01SW1-05;R01SW1-05
R01SW1-06;R01SW1-06
R01SW1-07;R01SW1-07
R01SW1-08;R01SW1-08
R01SW1-09;R01SW1-09
R01SW1-10;R01SW1-10
R01SW1-11;R01SW1-11
R01SW1-12;R01SW1-12
R01SW1-13;R01SW1-13
R01SW1-14;R01SW1-14
R01SW1-15;R01SW1-15
R01SW1-16;R01SW1-16
R01SW1-17;R01SW1-17
R01SW1-18;R01SW1-18
R01SW1-19;R01SW1-19
R01SW1-20;R01SW1-20
R01SW1-21;R01SW1-21
R01SW1-22;R01SW1-22
R01SW1-23;R01SW1-23
R01SW1-24;R01SW1-24
R01SW1-25;R01SW1-25
R01SW1-26;R01SW1-26
R01SW1-27;R01SW1-27
R01SW1-28;R01SW1-28
R01SW1-29;R01SW1-29
R01SW1-30;R01SW1-30
R01SW1-31;R01SW1-31
R01SW1-32;R01SW1-32
R01SW1-33;R01SW1-33
R01SW1-34;R01SW1-34
R01SW1-35;R01SW1-35
R01SW1-36;R01SW1-36
R01SW1-37;R01SW1-37
R01SW1-38;R01SW1-38
R01SW1-39;R01SW1-39
R01SW1-40;R01SW1-40
R01SW1-41;R01SW1-41
R01SW1-42;R01SW1-42
R01SW1-43;R01SW1-43
R01SW1-44;R01SW1-44
R01SW1-45;R01SW1-45
R01SW1-46;R01SW1-46
R01SW1-47;R01SW1-47
R01SW1-48;R01SW1-48
R02SW1-01;R02SW1-01
R02SW1-02;R02SW1-02
R02SW1-03;R02SW1-03
R02SW1-04;R02SW1-04
R02SW1-05;R02SW1-05
R02SW1-06;R02SW1-06
R02SW1-07;R02SW1-07
R02SW1-08;R02SW1-08
R02SW1-09;R02SW1-09
R02SW1-10;R02SW1-10
R02SW1-11;R02SW1-11
R02SW1-12;R02SW1-12
R02SW1-13;R02SW1-13
R02SW1-14;R02SW1-14
R02SW1-15;R02SW1-15
R02SW1-16;R02SW1-16
R02SW1-17;R02SW1-17
R02SW1-18;R02SW1-18
R02SW1-19;R02SW1-19
R02SW1-20;R02SW1-20
R02SW1-21;R02SW1-21
R02SW1-22;R02SW1-22
R02SW1-23;R02SW1-23
R02SW1-24;R02SW1-24
R02SW1-25;R02SW1-25
R02SW1-26;R02SW1-26
R02SW1-27;R02SW1-27
R02SW1-28;R02SW1-28
R02SW1-29;R02SW1-29
R02SW1-30;R02SW1-30
R02SW1-31;R02SW1-31
R02SW1-32;R02SW1-32
R02SW1-33;R02SW1-33
R02SW1-34;R02SW1-34
R02SW1-35;R02SW1-35
R02SW1-36;R02SW1-36
R02SW1-37;R02SW1-37
R02SW1-38;R02SW1-38
R02SW1-39;R02SW1-39
R02SW1-40;R02SW1-40
R02SW1-41;R02SW1-41
R02SW1-42;R02SW1-42
R02SW1-43;R02SW1-43
R02SW1-44;R02SW1-44
R02SW1-45;R02SW1-45
R02SW1-46;R02SW1-46
R02SW1-47;R02SW1-47
R02SW1-48;R02SW1-48
R03SW1-01;R03SW1-01
R03SW1-02;R03SW1-02
R03SW1-03;R03SW1-03
R03SW1-04;R03SW1-04
R03SW1-05;R03SW1-05
R03SW1-06;R03SW1-06
R03SW1-07;R03SW1-07
R03SW1-08;R03SW1-08
R03SW1-09;R03SW1-09
R03SW1-10;R03SW1-10
R03SW1-11;R03SW1-11
R03SW1-12;R03SW1-12
R03SW1-13;R03SW1-13
R03SW1-14;R03SW1-14
R03SW1-15;R03SW1-15
R03SW1-16;R03SW1-16
R03SW1-17;R03SW1-17
R03SW1-18;R03SW1-18
R03SW1-19;R03SW1-19
R03SW1-20;R03SW1-20
R03SW1-21;R03SW1-21
R03SW1-22;R03SW1-22
R03SW1-23;R03SW1-23
R03SW1-24;R03SW1-24
R03SW1-25;R03SW1-25
R03SW1-26;R03SW1-26
R03SW1-27;R03SW1-27
R03SW1-28;R03SW1-28
R03SW1-29;R03SW1-29
R03SW1-30;R03SW1-30
R03SW1-31;R03SW1-31
R03SW1-32;R03SW1-32
R03SW1-33;R03SW1-33
R03SW1-34;R03SW1-34
R03SW1-35;R03SW1-35
