name;code
Salon-1003;B1P1-SA01
Salon-1002;B1P1-SA02
Salon-1001;B1P1-SA03
Salon-Sociales-1;B1P1-SA04
Salon-Vacio;B1P1-SA05
Salon-Matematicas;B2P1-SA06
Salon-1103;B2P1-SA07
Salon-1102;B2P1-SA08
Salon-1101;B2P1-SA09
Salon-Musica;B1P2-SA10
Salon-Centro Operaciones Pastoral;B1P2-SA11
Salon-Artes;B1P2-SA12
Salon-Ingles-1;B2P2-SA13
Salon-Ingles-2;B2P2-SA14
Salon-Ingles-3;B2P2-SA15
Salon-Ingles-4;B2P2-SA16
Salon-Ingles-5;B2P2-SA17
Salon-Ingles-6;B2P2-SA18
Salon-0501;B3P1-SA19
Salon-0601-Ciencias Naturales-1;B3P1-SA20
Salon-0602-Sociales-2;B3P1-SA21
Salon-0701-Espa¤ol-1;B3P1-SA22
Salon-0301;B4P1-SA23
Salon-0201;B4P1-SA24
Salon-0202;B4P1-SA25
Salon-Musica2;B4P1-SA26
Salon-0901-Espa¤ol-2;B3P2-SA27
Salon-0902-EducaciOn Religiosa;B3P2-SA28
Salon-0801-Ciencias Naturales-2;B3P2-SA29
Salon-0802-Matematicas-2;B3P2-SA30
Salon-0302;B4P2-SA31
Salon-0401;B4P2-SA32
Salon-0402;B4P2-SA33
Salon-0502;B4P2-SA34
Salon-Luduteca;PREE-SA35
Salon-Vacio;PREE-SA36
Salon-0102;PREE-SA37
Salon-0101;PREE-SA38
Salon-0002;PREE-SA39
Salon-0001;PREE-SA40
Salon-Ingles-7;PREE-SA41
Salon-vacio;PREE-SA42
Salon-Prejardin;PREE-SA43
Salon-Jardin;PREE-SA44
OFICINA GESTION DIRECTIVA;OFICINA01
OFICINA ADMISIONES Y MATRICULAS;OFICINA02
OFICINA GESTION EDUCATIVA;OFICINA03
OFICINA GESTION DEL TALENTO HUMANO;OFICINA04
OFICINA GESTION FINANCIERA;OFICINA05
OFICINA GESTION DE COMPRAS;OFICINA06
OFICINA DE GESTION DE SERVICIOS COMPLEMENTARIOS;OFICINA07
OFICINA DE SERVICIOS GENERALES;OFICINA08
OFICINA DE GESTION DE LA CALICAD;OFICINA09
OFICINA GESTION DE LA INFORMACION;OFICINA10
OFICINA COORDINADOR PRIMERA DIVISION;OFICINA11
OFICINA COORDINADOR SEGUNDA DIVISION;OFICINA12
OFICINA COORDINADOR TERCERA DIVISION;OFICINA13
OFICINA COORDINADOR DE PREESCOLAR;OFICINA14
OFICINAS DEPARTAMENTOS ACADEMICOS;OFICINA15
OFICINA DEPARTAMENTO DE TECNOLOGIA E INFORMATICA;OFICINA16
OFICINA DEPARTAMENTO DE INGLES;OFICINA17
OFICINA DEPARTAMENTO DE EDUCACION EN LA FE;OFICINA18
OFICINA DEPARTAMENTO DE ESPA¥OL;OFICINA19
OFICINA DEPARTAMENTO DE CIENCIAS NATURALES;OFICINA20
OFICINA DEPARTAMENTO DE MATEMATICAS;OFICINA21
OFICINA DEPARTAMENTO DE EDUCACION FISICA;OFICINA22
OFICINA DEPARTAMENTO DE ARTES PLASTICAS;OFICINA23
OFICINA DEPARTAMENTO DE SOCIALES;OFICINA24
OFICINA COORDINADOR PRIMERA DIVISION;OFICINA25
OFICINA COORDINADOR SEGUNDA DIVISION;OFICINA26
OFICINA COORDINADOR TERCERA DIVISION;OFICINA27
OFICINA COORDINADOR DE PREESCOLAR;OFICINA28
SALA DE INFORMATICA No.1;OFICINA29
SALA DE INFORMATICA No.2;OFICINA30
SALA DE INFORMATICA No.3;OFICINA31
SALON-AUDIOVISUALES;OFICINA32
DEPARTAMENTOS ACADEMICOS;OFICINA33
SALA DE ATENCION;OFICINA34
