From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
DocumentalRetention;name;2 ANOS;Trd;name;GESTION=1 Y CENTRAL=2;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 ANOS;Trd;name;GESTION=VIGENCIA DEL CONVENIO Y CENTRAL=2;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 ANOS;Trd;name;GESTION=ANO ACTUAL Y CENTRAL=2;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 ANOS;Trd;name;GESTION=VIDA UTIL DEL EQUIPO Y CENTRAL=2;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;3 ANOS;Trd;name;GESTION=ANO ACTUAL Y CENTRAL=3;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 ANOS;Trd;name;GESTION=ANO LECTIVO Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 ANOS;Trd;name;GESTION=1 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 ANOS;Trd;name;GESTION=2 Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 ANOS;Trd;name;GESTION=PERMANENCIA DEL RECTOR Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 ANOS;Trd;name;GESTION=ANO ACTUAL Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 ANOS;Trd;name;GESTION=PERMANENCIA DEL ALUMNO Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;5 ANOS;Trd;name;GESTION=PERMANENCIA DEL EMPLEADO Y CENTRAL=5;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;20 ANOS;Trd;name;GESTION=2 Y CENTRAL=20;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;15 ANOS;Trd;name;GESTION=ANO ACTUAL Y CENTRAL=15;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;100 ANOS;Trd;name;GESTION=ANO LECTIVO Y CENTRAL=100;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;100 ANOS;Trd;name;GESTION=2 Y CENTRAL=100;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;100 ANOS;Trd;name;GESTION=PERMANENCIA DEL EMPLEADO Y CENTRAL=100;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;100 ANOS;Trd;name;GESTION=N.A Y CENTRAL=100;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;INDEFINIDO;Trd;name;GESTION=1 Y CENTRAL=INDEFINIDO;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;INDEFINIDO;Trd;name;GESTION=2 Y CENTRAL=INDEFINIDO;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;INDEFINIDO;Trd;name;ANO ACTUAL Y CENTRAL=INDEFINIDO;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;CONSERVACION TOTAL;Trd;name;GESTION=ANO ACTUAL Y CENTRAL=CONSERVACION TOTAL;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=PERMANENCIA DEL ESTUDIANTE Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=ANO LECTIVO Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=PERMANENCIA DEL ESTUDIANTE Y PAZ Y SALVO Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=CONSERVACI‡N TOTAL Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=2 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=VIGENCIA DEL PROVEEDOR Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=PERMANENTE Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=1 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=VIGENCIA DE LA MATRIZ Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=ANO ACTUAL Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=VIGENCIA DEL ACTA Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=VIGENCIA DE LA CLµUSULA Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=5 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=10 Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=VIGENCIA DEL LISTADO Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=PERMANENCIA DEL EMPLEADO Y CENTRAL=N.A;central;Uno a Muchos Bidirecccional No.5
