From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
DocumentalRetention;name;1 ANO;Trd;name;GESTION=1 Y CENTRAL=2;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;VIGENCIA DEL CONVENIO;Trd;name;GESTION=VIGENCIA DEL CONVENIO Y CENTRAL=2;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;ANO ACTUAL;Trd;name;GESTION=ANO ACTUAL Y CENTRAL=2;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;VIDA UTIL DEL EQUIPO;Trd;name;GESTION=VIDA UTIL DEL EQUIPO Y CENTRAL=2;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;ANO ACTUAL;Trd;name;GESTION=ANO ACTUAL Y CENTRAL=3;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;ANO LECTIVO;Trd;name;GESTION=ANO LECTIVO Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 ANO;Trd;name;GESTION=1 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 ANOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;PERMANENCIA DEL RECTOR;Trd;name;GESTION=PERMANENCIA DEL RECTOR Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;ANO ACTUAL;Trd;name;GESTION=ANO ACTUAL Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;PERMANENCIA DEL ALUMNO;Trd;name;GESTION=PERMANENCIA DEL ALUMNO Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;PERMANENCIA DEL EMPLEADO;Trd;name;GESTION=PERMANENCIA DEL EMPLEADO Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 ANOS;Trd;name;GESTION=2 Y CENTRAL=20;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;ANO ACTUAL;Trd;name;GESTION=ANO ACTUAL Y CENTRAL=15;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;ANO LECTIVO;Trd;name;GESTION=ANO LECTIVO Y CENTRAL=100;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 ANOS;Trd;name;GESTION=2 Y CENTRAL=100;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;PERMANENCIA DEL EMPLEADO;Trd;name;GESTION=PERMANENCIA DEL EMPLEADO Y CENTRAL=100;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;N.A;Trd;name;GESTION=N.A Y CENTRAL=100;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 ANO;Trd;name;GESTION=1 Y CENTRAL=INDEFINIDO;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 ANOS;Trd;name;GESTION=2 Y CENTRAL=INDEFINIDO;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;ANO ACTUAL;Trd;name;ANO ACTUAL Y CENTRAL=INDEFINIDO;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;ANO ACTUAL;Trd;name;GESTION=ANO ACTUAL Y CENTRAL=CONSERVACION TOTAL;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;PERMANENCIA DEL ESTUDIANTE;Trd;name;GESTION=PERMANENCIA DEL ESTUDIANTE Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;ANO LECTIVO;Trd;name;GESTION=ANO LECTIVO Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;PERMANENCIA DEL ESTUDIANTE Y PAZ Y SALVO;Trd;name;GESTION=PERMANENCIA DEL ESTUDIANTE Y PAZ Y SALVO Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;CONSERVACION TOTAL;Trd;name;GESTION=CONSERVACI‡N TOTAL Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 ANOS;Trd;name;GESTION=2 Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;VIGENCIA DEL PROVEEDOR;Trd;name;GESTION=VIGENCIA DEL PROVEEDOR Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;PERMANENTE;Trd;name;GESTION=PERMANENTE Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
