From;FromProperty;FromValue;To;ToProperty;ToValue;Cardinalities
Sections;code;GD;Series;name;INFORMES DE RESULTADO DE REVISIOOON POR LA DIRECCIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;INFORMES VISITA HERMANO PROVINCIAL;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;MATRICES DE INDICADORES DEL SISTEMA DE GESTIOOON DE LA CALIDAD;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;PLANES OPERATIVOS ANUALES;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;INFORMES DE GESTIOOON O DESEMEPENNNO DE PROCESO;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;ACTAS DE CONSEJO DIRECTIVO;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;RESOLUCIOOONES DE RECTORIIIA;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;CRONOGRAMAS DISTRITALES;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;CRONOGRAMAS INSTITUCIONALES;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;EVALUACIONES INSTITUCIONALES;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;GUIAS DE AUTOEVALUACIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;GUIAS PARA LA ENTREGA DE UNA OBRA LASALLISTA;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;CARTAS DE NOMBRAMIENTO DE RECTOR;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;CONVENIOS INTERINSTITUCIONALES;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;ACTAS DEL CONSEJO DE COORDINACIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;GD-CIRCULAR DE RECTORIIIA;Uno a Muchos Bidirecccional No.5
Sections;code;GD;Series;name;GD-CORRESPONDENCIA;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;FORMULARIOS DE INSCRIPCIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;REGISTROS DE RESULTADOS DE ADMISIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;HOJAS DE MATRIIICULA;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;DEVOLUCIONES DE DOCUMENTOS;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;AUTORIZACIONES RETIRO DE ESTUDIANTES;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;LISTAS DE CHEQUEO PARA RECEPCIOOON DE DOCUMENTOS PARA LA MATRICULA;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;CONTRATOS DE PRESTACIOOON DEL SERVICIO EDUCATIVO;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;LISTADOS DE ESTUDIANTES MATRICULADOS;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;LISTADOS DE ASPIRANTES ADMITIDOS;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;LISTADOS DE ASPIRANTES INSCRITOS;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;PAZ Y SALVO ESTUDIANTES;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;LIBROS DE ACTAS DE GRADO;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;AM-CORRESPONDENCIA;Uno a Muchos Bidirecccional No.5
Sections;code;AM;Series;name;AM-CIRCULAR;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;HORARIOS DE CLASES;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;REGISTROS DE VALIDACIOOON DE LA PRESTACIOOON DEL SERVICIO EDUCATIVO;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;CONTROLES DE ACTIVIDADES DE SUPERACIOOON O RECUPERACIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;OBSERVADORES DEL ESTUDIANTE;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;PLANES DE CURSO;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;CONTROLES DE ATENCIOOON PARA ORIENTACIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;AUTORIZACIONES PARA ESTUDIANTES;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;CITACIONES A PADRES DE FAMILIA;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;REMISIONES DE ESTUDIANTES A ORIENTACIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;HISTORIAS Y SEGUIMIENTO PSICOLOGIIIA;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;AUTOS REGISTRO DE RETARDOS;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;CONTENIDOS PROGRAMAAATICOS;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;CONTROLES DE CITACIONES A PADRES DE FAMILIA;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;PLANES DE ASIGNATURA;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;REGISTROS DE NORMALIZACIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;ACTAS DE COMPROMISO ACADEEEMICO;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;ACTAS DE COMPROMISO COMPORTAMENTAL;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;CLAUSULAS ESPECIALES DE MATRICULA;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;CONTROLES DE ASISTENCIA A ACTIVIDADES DE APOYO;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;EVALUACIONES DE ACTIVIDADES DE APOYO;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;INFORMES PERIODICOS DE PSICOLOGIIIA A COORDINACIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;PLANILLAS DE SEGUIMIENTO- NIVEL PREESCOLAR;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;PLANES DE AAAREA;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;PROYECTOS PEDAGOOOGICO;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;REGISTROS DE ATENCIOOON A PADRES DE FAMILIA O ACUDIENTES;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;ACTAS DE COMISIOOON DE EVALUACIOOON Y PROMOCIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;ACTAS DE CONSEJO ACADEEEMICO;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;ACTAS DE REUNIOOON DE DEPARTAMENTO O AAAREA;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;PLANILLAS DE CALIFICACIONES / CONTROL DE ASISTENCIA;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;INFORMES O RESULTADOS DE PRUEBAS EXTERNAS;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;INFORMES DE COMISIONES DE EVALUACIOOON Y PROMOCIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;LIBROS DE CALIFICACIONES FINALES;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;GE-CORRESPONDENCIA;Uno a Muchos Bidirecccional No.5
Sections;code;GE;Series;name;GE-CIRCULAR;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;SOLICITUDES DE PERSONAL;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;FORMATOS DE ENTREVISTA;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;HOJAS DE VIDA INSTITUCIONAL;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;CONTRATOS LABORALES;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;REGISTROS DE INDUCCIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;INGRESOS DE PERSONAL;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;EVALUACIONES DE DESEMPENNNO;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;REGISTROS DE NOVEDADES;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;ENCUESTAS DE CLIMA ORGANIZACIONAL;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;DECLARACIONES DE COMPETENCIA;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;PLANES DE FORMACIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;SOLICITUDES DE CAPACITACIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;PLANES DE BIENESTAR;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;RETIROS DE PERSONAL;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;SOLICITUDES DE PERMISOS;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;SEGUIMIENTOS Y ASISTENCIA A CAPACITACIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;NOMINAS MENSUALES;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;ACTAS DE DESCARGOS, CONCILIACIOOON O COMPROMISO;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;EVALUACIONES DE LA ATENCIOOON A PADRES DE FAMILIA O ACUDIENTES;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;PAZ Y SALVOS GENERALES;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;EVALUACIONES DE DOCENTES (PREESCOLAR Y PRIMERO);Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;PROTOCOLIZACIONES DEL PERSONAL DOCENTE;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;ACTAS DE REUNIOOON DE COPASST;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;ACTAS DE COMITEEE DE CONVIVENCIA LABORAL;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;DOCUMENTOS DEL SISTEMA DE GESTIOOON DE LA SEGURIDAD Y SALUD EN EL TRABAJO;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;PLANES DE EMERGENCIAS;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;PLANES DE MEJORAMIENTO ENCUESTA DE CLIMA ORGANIZACIONAL;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;LIQUIDACIONES DE PERSONAL;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;GT-CORRESPONDENCIA;Uno a Muchos Bidirecccional No.5
Sections;code;GT;Series;name;GT-CIRCULAR;Uno a Muchos Bidirecccional No.5
Sections;code;GF;Series;name;EJECUCIONES PRESUPUESTALES;Uno a Muchos Bidirecccional No.5
Sections;code;GF;Series;name;REQUISICIONES GF;Uno a Muchos Bidirecccional No.5
Sections;code;GF;Series;name;CARTERAS ACTUALIZADAS DE LOS COLEGIOS;Uno a Muchos Bidirecccional No.5
Sections;code;GF;Series;name;CONCILIACIONES  CUENTA DE MOROSOS;Uno a Muchos Bidirecccional No.5
Sections;code;GF;Series;name;RESUMENES DE CARTERA MOROSA;Uno a Muchos Bidirecccional No.5
Sections;code;GF;Series;name;PLANILLAS DIARIAS DE VENTAS EN CAFETERIA;Uno a Muchos Bidirecccional No.5
Sections;code;GF;Series;name;INFORMES MENSUALES DE VENTAS EN CAFETERIA;Uno a Muchos Bidirecccional No.5
Sections;code;GF;Series;name;COMPROBANTES DE EGRESO;Uno a Muchos Bidirecccional No.5
Sections;code;GF;Series;name;SOPORTES COMPROBANTES DE EGRESO;Uno a Muchos Bidirecccional No.5
Sections;code;GF;Series;name;GF-CORRESPONDENCIA;Uno a Muchos Bidirecccional No.5
Sections;code;GF;Series;name;GF-CIRCULAR;Uno a Muchos Bidirecccional No.5
Sections;code;GC;Series;name;SOLICITUDES Y ENTREGAS DE SUMINISTROS;Uno a Muchos Bidirecccional No.5
Sections;code;GC;Series;name;COMPARATIVOS DE OFERTAS;Uno a Muchos Bidirecccional No.5
Sections;code;GC;Series;name;ORDENES DE COMPRA;Uno a Muchos Bidirecccional No.5
Sections;code;GC;Series;name;DEVOLUCIONES DE ARTIIICULOS;Uno a Muchos Bidirecccional No.5
