From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
Series;name;INFORMES DE RESULTADO DE REVISIOOON POR LA DIRECCIOOON;TrdSeries;name;INFORMES DE RESULTADO DE REVISIOOON POR LA DIRECCIOOON;;Uno a Muchos Bidirecccional No.5
Series;name;INFORMES VISITA HERMANO PROVINCIAL;TrdSeries;name;INFORMES VISITA HERMANO PROVINCIAL;;Uno a Muchos Bidirecccional No.5
Series;name;MATRICES DE INDICADORES DEL SISTEMA DE GESTIOOON DE LA CALIDAD;TrdSeries;name;MATRICES DE INDICADORES DEL SISTEMA DE GESTIOOON DE LA CALIDAD;;Uno a Muchos Bidirecccional No.5
Series;name;PLANES OPERATIVOS ANUALES;TrdSeries;name;PLANES OPERATIVOS ANUALES;;Uno a Muchos Bidirecccional No.5
Series;name;INFORMES DE GESTIOOON O DESEMEPENNNO DE PROCESO;TrdSeries;name;INFORMES DE GESTIOOON O DESEMEPENNNO DE PROCESO;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS DE CONSEJO DIRECTIVO;TrdSeries;name;ACTAS DE CONSEJO DIRECTIVO;;Uno a Muchos Bidirecccional No.5
Series;name;RESOLUCIOOONES DE RECTORIIIA;TrdSeries;name;RESOLUCIOOONES DE RECTORIIIA;;Uno a Muchos Bidirecccional No.5
Series;name;CRONOGRAMAS DISTRITALES;TrdSeries;name;CRONOGRAMAS DISTRITALES;;Uno a Muchos Bidirecccional No.5
Series;name;CRONOGRAMAS INSTITUCIONALES;TrdSeries;name;CRONOGRAMAS INSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Series;name;EVALUACIONES INSTITUCIONALES;TrdSeries;name;EVALUACIONES INSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Series;name;GUIAS DE AUTOEVALUACIOOON;TrdSeries;name;GUIAS DE AUTOEVALUACIOOON;;Uno a Muchos Bidirecccional No.5
Series;name;GUIAS PARA LA ENTREGA DE UNA OBRA LASALLISTA;TrdSeries;name;GUIAS PARA LA ENTREGA DE UNA OBRA LASALLISTA;;Uno a Muchos Bidirecccional No.5
Series;name;CARTAS DE NOMBRAMIENTO DE RECTOR;TrdSeries;name;CARTAS DE NOMBRAMIENTO DE RECTOR;;Uno a Muchos Bidirecccional No.5
Series;name;CONVENIOS INTERINSTITUCIONALES;TrdSeries;name;CONVENIOS INTERINSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Series;name;ACTAS DEL CONSEJO DE COORDINACIOOON;TrdSeries;name;ACTAS DEL CONSEJO DE COORDINACIOOON;;Uno a Muchos Bidirecccional No.5
Series;name;GD-CIRCULAR DE RECTORIIIA;TrdSeries;name;GD-CIRCULAR DE RECTORIIIA;;Uno a Muchos Bidirecccional No.5
Series;name;GD-CORRESPONDENCIA;TrdSeries;name;GD-CORRESPONDENCIA;;Uno a Muchos Bidirecccional No.5
Series;name;FORMULARIOS DE INSCRIPCIOOON;TrdSeries;name;FORMULARIOS DE INSCRIPCIOOON;;Uno a Muchos Bidirecccional No.5
Series;name;REGISTROS DE RESULTADOS DE ADMISIOOON;TrdSeries;name;REGISTROS DE RESULTADOS DE ADMISIOOON;;Uno a Muchos Bidirecccional No.5
Series;name;HOJAS DE MATRIIICULA;TrdSeries;name;HOJAS DE MATRIIICULA;;Uno a Muchos Bidirecccional No.5
Series;name;DEVOLUCIONES DE DOCUMENTOS;TrdSeries;name;DEVOLUCIONES DE DOCUMENTOS;;Uno a Muchos Bidirecccional No.5
