From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;INFORMES DE RESULTADO DE REVISIOOON POR LA DIRECCIOOON;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;INFORMES VISITA HERMANO PROVINCIAL;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=VIGENCIA DE LA MATRIZ Y CENTRAL=N.A;TrdSeries;name;MATRICES DE INDICADORES DEL SISTEMA DE GESTIOOON DE LA CALIDAD;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;PLANES OPERATIVOS ANUALES;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;INFORMES DE GESTIOOON O DESEMEPENNNO DE PROCESO;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=1 Y CENTRAL=INDEFINIDO;TrdSeries;name;ACTAS DE CONSEJO DIRECTIVO;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=INDEFINIDO;TrdSeries;name;RESOLUCIOOONES DE RECTORIIIA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;CRONOGRAMAS DISTRITALES;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;CRONOGRAMAS INSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;EVALUACIONES INSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;GUIAS DE AUTOEVALUACIOOON;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=PERMANENCIA DEL RECTOR Y CENTRAL=5;TrdSeries;name;GUIAS PARA LA ENTREGA DE UNA OBRA LASALLISTA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=PERMANENCIA DEL RECTOR Y CENTRAL=5;TrdSeries;name;CARTAS DE NOMBRAMIENTO DE RECTOR;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=VIGENCIA DEL CONVENIO Y CENTRAL=2;TrdSeries;name;CONVENIOS INTERINSTITUCIONALES;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=1 Y CENTRAL=2;TrdSeries;name;ACTAS DEL CONSEJO DE COORDINACIOOON;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;GD-CIRCULAR DE RECTORIIIA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;GD-CORRESPONDENCIA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=PERMANENCIA DEL ESTUDIANTE Y CENTRAL=N.A;TrdSeries;name;FORMULARIOS DE INSCRIPCIOOON;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=PERMANENCIA DEL ESTUDIANTE Y CENTRAL=N.A;TrdSeries;name;REGISTROS DE RESULTADOS DE ADMISIOOON;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO LECTIVO Y CENTRAL=100;TrdSeries;name;HOJAS DE MATRIIICULA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO LECTIVO Y CENTRAL=5;TrdSeries;name;DEVOLUCIONES DE DOCUMENTOS;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO LECTIVO Y CENTRAL=5;TrdSeries;name;AUTORIZACIONES RETIRO DE ESTUDIANTES;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO LECTIVO Y CENTRAL=N.A;TrdSeries;name;LISTAS DE CHEQUEO PARA RECEPCIOOON DE DOCUMENTOS PARA LA MATRICULA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=PERMANENCIA DEL ESTUDIANTE Y PAZ Y SALVO Y CENTRAL=N.A;TrdSeries;name;CONTRATOS DE PRESTACIOOON DEL SERVICIO EDUCATIVO;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO LECTIVO Y CENTRAL=N.A;TrdSeries;name;LISTADOS DE ESTUDIANTES MATRICULADOS;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO LECTIVO Y CENTRAL=N.A;TrdSeries;name;LISTADOS DE ASPIRANTES ADMITIDOS;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO LECTIVO Y CENTRAL=N.A;TrdSeries;name;LISTADOS DE ASPIRANTES INSCRITOS;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=PERMANENCIA DEL ESTUDIANTE Y CENTRAL=N.A;TrdSeries;name;PAZ Y SALVO ESTUDIANTES;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=CONSERVACI‡N TOTAL Y CENTRAL=N.A;TrdSeries;name;LIBROS DE ACTAS DE GRADO;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;AM-CORRESPONDENCIA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;AM-CIRCULAR;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=3;TrdSeries;name;HORARIOS DE CLASES;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=5;TrdSeries;name;REGISTROS DE VALIDACIOOON DE LA PRESTACIOOON DEL SERVICIO EDUCATIVO;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=5;TrdSeries;name;CONTROLES DE ACTIVIDADES DE SUPERACIOOON O RECUPERACIOOON;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=15;TrdSeries;name;OBSERVADORES DEL ESTUDIANTE;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=3;TrdSeries;name;PLANES DE CURSO;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=2;TrdSeries;name;CONTROLES DE ATENCIOOON PARA ORIENTACIOOON;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=2;TrdSeries;name;AUTORIZACIONES PARA ESTUDIANTES;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=2;TrdSeries;name;CITACIONES A PADRES DE FAMILIA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=2;TrdSeries;name;REMISIONES DE ESTUDIANTES A ORIENTACIOOON;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=PERMANENCIA DEL ALUMNO Y CENTRAL=5;TrdSeries;name;HISTORIAS Y SEGUIMIENTO PSICOLOGIIIA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=N.A;TrdSeries;name;AUTOS REGISTRO DE RETARDOS;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=5;TrdSeries;name;CONTENIDOS PROGRAMAAATICOS;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=N.A;TrdSeries;name;CONTROLES DE CITACIONES A PADRES DE FAMILIA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=5;TrdSeries;name;PLANES DE ASIGNATURA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=N.A;TrdSeries;name;REGISTROS DE NORMALIZACIOOON;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=VIGENCIA DEL ACTA Y CENTRAL=N.A;TrdSeries;name;ACTAS DE COMPROMISO ACADEEEMICO;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=VIGENCIA DEL ACTA Y CENTRAL=N.A;TrdSeries;name;ACTAS DE COMPROMISO COMPORTAMENTAL;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=VIGENCIA DE LA CLµUSULA Y CENTRAL=N.A;TrdSeries;name;CLAUSULAS ESPECIALES DE MATRICULA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=N.A;TrdSeries;name;CONTROLES DE ASISTENCIA A ACTIVIDADES DE APOYO;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=N.A;TrdSeries;name;EVALUACIONES DE ACTIVIDADES DE APOYO;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=N.A;TrdSeries;name;INFORMES PERIODICOS DE PSICOLOGIIIA A COORDINACIOOON;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=N.A;TrdSeries;name;PLANILLAS DE SEGUIMIENTO- NIVEL PREESCOLAR;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=5;TrdSeries;name;PLANES DE AAAREA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=5;TrdSeries;name;PROYECTOS PEDAGOOOGICO;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=N.A;TrdSeries;name;REGISTROS DE ATENCIOOON A PADRES DE FAMILIA O ACUDIENTES;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=15;TrdSeries;name;ACTAS DE COMISIOOON DE EVALUACIOOON Y PROMOCIOOON;;Uno a Muchos Bidirecccional No.5
Trd;name;ANO ACTUAL Y CENTRAL=INDEFINIDO;TrdSeries;name;ACTAS DE CONSEJO ACADEEEMICO;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=5;TrdSeries;name;ACTAS DE REUNIOOON DE DEPARTAMENTO O AAAREA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=5;TrdSeries;name;PLANILLAS DE CALIFICACIONES / CONTROL DE ASISTENCIA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=5;TrdSeries;name;INFORMES O RESULTADOS DE PRUEBAS EXTERNAS;;Uno a Muchos Bidirecccional No.5
Trd;name;ANO ACTUAL Y CENTRAL=INDEFINIDO;TrdSeries;name;INFORMES DE COMISIONES DE EVALUACIOOON Y PROMOCIOOON;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=ANO ACTUAL Y CENTRAL=CONSERVACION TOTAL;TrdSeries;name;LIBROS DE CALIFICACIONES FINALES;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;GE-CORRESPONDENCIA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;GE-CIRCULAR;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=N.A;TrdSeries;name;SOLICITUDES DE PERSONAL;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=PERMANENCIA DEL EMPLEADO Y CENTRAL=100;TrdSeries;name;FORMATOS DE ENTREVISTA;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=PERMANENCIA DEL EMPLEADO Y CENTRAL=100;TrdSeries;name;HOJAS DE VIDA INSTITUCIONAL;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=PERMANENCIA DEL EMPLEADO Y CENTRAL=100;TrdSeries;name;CONTRATOS LABORALES;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=PERMANENCIA DEL EMPLEADO Y CENTRAL=100;TrdSeries;name;REGISTROS DE INDUCCIOOON;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=PERMANENCIA DEL EMPLEADO Y CENTRAL=100;TrdSeries;name;INGRESOS DE PERSONAL;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=PERMANENCIA DEL EMPLEADO Y CENTRAL=5;TrdSeries;name;EVALUACIONES DE DESEMPENNNO;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=1 Y CENTRAL=5;TrdSeries;name;REGISTROS DE NOVEDADES;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=2 Y CENTRAL=5;TrdSeries;name;ENCUESTAS DE CLIMA ORGANIZACIONAL;;Uno a Muchos Bidirecccional No.5
Trd;name;GESTION=PERMANENCIA DEL EMPLEADO Y CENTRAL=100;TrdSeries;name;DECLARACIONES DE COMPETENCIA;;Uno a Muchos Bidirecccional No.5
