From;FromProperty;FromValue;To;ToProperty;ToValue;Cardinalities
ItemsNames;name;RACKS;Items;serial;R01;Uno a Muchos Bidirecccional No.5
ItemsNames;name;RACKS;Items;serial;R02;Uno a Muchos Bidirecccional No.5
ItemsNames;name;RACKS;Items;serial;R03;Uno a Muchos Bidirecccional No.5
ItemsNames;name;RACKS;Items;serial;R04;Uno a Muchos Bidirecccional No.5
ItemsNames;name;RACKS;Items;serial;R05;Uno a Muchos Bidirecccional No.5
ItemsNames;name;RACKS;Items;serial;R06;Uno a Muchos Bidirecccional No.5
ItemsNames;name;RACKS;Items;serial;R07;Uno a Muchos Bidirecccional No.5
ItemsNames;name;RACKS;Items;serial;R08;Uno a Muchos Bidirecccional No.5
ItemsNames;name;RACKS;Items;serial;R09;Uno a Muchos Bidirecccional No.5
ItemsNames;name;RACKS;Items;serial;R10;Uno a Muchos Bidirecccional No.5
ItemsNames;name;RACKS;Items;serial;R11;Uno a Muchos Bidirecccional No.5
ItemsNames;name;RACKS;Items;serial;R12;Uno a Muchos Bidirecccional No.5
ItemsNames;name;RACKS;Items;serial;R13;Uno a Muchos Bidirecccional No.5
ItemsNames;name;RACKS;Items;serial;R14;Uno a Muchos Bidirecccional No.5
ItemsNames;name;SWITCHES;Items;serial;R01SW1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;SWITCHES;Items;serial;R02SW1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;SWITCHES;Items;serial;R03SW1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;SWITCHES;Items;serial;R04SW1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;SWITCHES;Items;serial;R05SW1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;SWITCHES;Items;serial;R06SW1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;SWITCHES;Items;serial;R07SW1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;SWITCHES;Items;serial;R08SW1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;SWITCHES;Items;serial;R09SW1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;SWITCHES;Items;serial;R10SW1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;SWITCHES;Items;serial;R11SW1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;SWITCHES;Items;serial;R12SW1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;SWITCHES;Items;serial;R13SW1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;SWITCHES;Items;serial;R14SW1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;PATCH PANEL;Items;serial;R01PP1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;PATCH PANEL;Items;serial;R01PP2;Uno a Muchos Bidirecccional No.5
ItemsNames;name;PATCH PANEL;Items;serial;R02PP1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;PATCH PANEL;Items;serial;R02PP2;Uno a Muchos Bidirecccional No.5
ItemsNames;name;PATCH PANEL;Items;serial;R03PP1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;PATCH PANEL;Items;serial;R03PP2;Uno a Muchos Bidirecccional No.5
ItemsNames;name;PATCH PANEL;Items;serial;R04PP1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;PATCH PANEL;Items;serial;R05PP1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;PATCH PANEL;Items;serial;R06PP1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;PATCH PANEL;Items;serial;R07PP1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;PATCH PANEL;Items;serial;R08PP1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;PATCH PANEL;Items;serial;R09PP1;Uno a Muchos Bidirecccional No.5
ItemsNames;name;PATCH PANEL;Items;serial;R09PP2;Uno a Muchos Bidirecccional No.5
ItemsNames;name;PATCH PANEL;Items;serial;R10PP1;Uno a Muchos Bidirecccional No.5
