From;FromProperty;FromValue;To;ToProperty;ToValue;Cardinalities
Hosts;name;MXL3200LZ5;NetworkPorts;MacAddress;MXL3200LZ5;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LZP;NetworkPorts;MacAddress;MXL3200LZP;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200M09;NetworkPorts;MacAddress;MXL3200M09;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LX1;NetworkPorts;MacAddress;MXL3200LX1;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LXY;NetworkPorts;MacAddress;MXL3200LXY;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LZR;NetworkPorts;MacAddress;MXL3200LZR;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LZL;NetworkPorts;MacAddress;MXL3200LZL;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LZT;NetworkPorts;MacAddress;MXL3200LZT;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200M07;NetworkPorts;MacAddress;MXL3200M07;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LXX;NetworkPorts;MacAddress;MXL3200LXX;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LWN;NetworkPorts;MacAddress;MXL3200LWN;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200M0B;NetworkPorts;MacAddress;MXL3200M0B;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LXV;NetworkPorts;MacAddress;MXL3200LXV;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200M3K;NetworkPorts;MacAddress;MXL3200M3K;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LZM;NetworkPorts;MacAddress;MXL3200LZM;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LY5;NetworkPorts;MacAddress;MXL3200LY5;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LY1;NetworkPorts;MacAddress;MXL3200LY1;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LWR;NetworkPorts;MacAddress;MXL3200LWR;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LZD;NetworkPorts;MacAddress;MXL3200LZD;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LYB;NetworkPorts;MacAddress;MXL3200LYB;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LXT;NetworkPorts;MacAddress;MXL3200LXT;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LYS;NetworkPorts;MacAddress;MXL3200LYS;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LX7;NetworkPorts;MacAddress;MXL3200LX7;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LWJ;NetworkPorts;MacAddress;MXL3200LWJ;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LZQ;NetworkPorts;MacAddress;MXL3200LZQ;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LYY;NetworkPorts;MacAddress;MXL3200LYY;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LZ2;NetworkPorts;MacAddress;MXL3200LZ2;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LX9;NetworkPorts;MacAddress;MXL3200LX9;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LZC;NetworkPorts;MacAddress;MXL3200LZC;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LZK;NetworkPorts;MacAddress;MXL3200LZK;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LXJ;NetworkPorts;MacAddress;MXL3200LXJ;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LX5;NetworkPorts;MacAddress;MXL3200LX5;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LY3;NetworkPorts;MacAddress;MXL3200LY3;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LZG;NetworkPorts;MacAddress;MXL3200LZG;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LX2;NetworkPorts;MacAddress;MXL3200LX2;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LY8;NetworkPorts;MacAddress;MXL3200LY8;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LYJ;NetworkPorts;MacAddress;MXL3200LYJ;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LXD;NetworkPorts;MacAddress;MXL3200LXD;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LYD;NetworkPorts;MacAddress;MXL3200LYD;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LYW;NetworkPorts;MacAddress;MXL3200LYW;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LZW;NetworkPorts;MacAddress;MXL3200LZW;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LXF;NetworkPorts;MacAddress;MXL3200LXF;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200M01;NetworkPorts;MacAddress;MXL3200M01;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LXQ;NetworkPorts;MacAddress;MXL3200LXQ;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LYH;NetworkPorts;MacAddress;MXL3200LYH;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LYK;NetworkPorts;MacAddress;MXL3200LYK;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LYQ;NetworkPorts;MacAddress;MXL3200LYQ;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LYR;NetworkPorts;MacAddress;MXL3200LYR;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LYM;NetworkPorts;MacAddress;MXL3200LYM;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LY2;NetworkPorts;MacAddress;MXL3200LY2;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LWM;NetworkPorts;MacAddress;MXL3200LWM;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LXL;NetworkPorts;MacAddress;MXL3200LXL;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200M3J;NetworkPorts;MacAddress;MXL3200M3J;Uno a Muchos Bidirecccional No.5
Hosts;name;MXL3200LXZ;NetworkPorts;MacAddress;MXL3200LXZ;Uno a Muchos Bidirecccional No.5
