String;String;AttributesProperties
name;value;
@Column;@Column;
NullUnique1;@Column(nullable = true, unique = true);
NullUnique2;@Column(nullable = true, unique = false);
NullUnique3;@Column(nullable = false, unique = true);
NullUnique4;@Column(nullable = false, unique = false);
@Basic;@Basic;
@Basic1;@Basic(fetch=FetchType.LAZY);
@Lob;@Lob;
@Indexed;@Indexed;
@DocumentId;@DocumentId;
@DateBridgeSE;@DateBridge(resolution = Resolution.SECOND);
@DateBridgeML;@DateBridge(resolution = Resolution.MILLISECOND);
@NumericField;@NumericField;
@Field1;// @Field(index = Index.YES, analyze = Analyze.YES, store = Store.NO);
@Field2;// @Field(index = Index.YES, analyze = Analyze.YES, store = Store.YES);
@DateBridgeYE;@DateBridge(resolution = Resolution.YEAR);
@Embedded;@Embedded;
@IndexedEmbedded;@IndexedEmbedded;
@Temporal;@Temporal(TemporalType.DATE);
@DateBridgeMO;@DateBridge(resolution = Resolution.MONTH);
@DateBridgeDA;@DateBridge(resolution = Resolution.DAY);
@DateBridgeHO;@DateBridge(resolution = Resolution.HOUR);
@DateBridgeMI;@DateBridge(resolution = Resolution.MINUTE);
@NotNull;@NotNull;
@Size0125;@Size(min = 1, max = 25);
@Size0912;@Size(min = 9, max = 12);
@Length0125;"@Length(min = 1, max = 25, message = \""Size must be between 1 and 25 digits\"")";
@Length0912;"@Length(min = 9, max = 12, message = \""Size must be between 9 and 12 digits\"")";
@Pattern1;"@Pattern(regexp = \""[A-Za-z ]*\"", message = \""must contain only letters and spaces\"")";
@Pattern2;"@Pattern(regexp = \""[^0-9]*\"", message = \""Must not contain numbers\"")";
@NotEmpty;@NotEmpty;
@Email;"@Email(message = \""Invalid format\"")";
@Digits0012;"@Digits(fractionalDigits = 0, integerDigits = 12, message = \""Not allowed digit!\"")";
