From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
PhysicalAreasTypes;name;Paredes;PhysicalAreas;name;Base Derecha Cocina L1;       ;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Paredes;PhysicalAreas;name;Base Izquierda Cocina L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Base Derecha Cocina L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Base Izquierda Cocina L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PFI Baño L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo PFR Cocina L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filos Columna PFI Cocina L1?;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filos Columna PFR Cocina L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filos Columna PLD Baño L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filos Columna PLD Local  L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filos Columnas PFI Local  L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filos Columnas PFR Local  L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filos Columnas PLI Local  L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filos Marco Puerta Interior L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filos Marco Ventana Baño L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filos PLI Cocina L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filos Porton L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filos Ventana L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardaescoba Baño L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardaescoba Rincon L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Local  L1;;Uno a Muchos Bidirecccional No.5
