From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
PhysicalAreasTypes;name;Andenes;PhysicalAreas;name;Anden Fachada CR23;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Barras;PhysicalAreas;name;Barra de la Cocina L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Paredes;PhysicalAreas;name;Base Derecha Cocina L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Paredes;PhysicalAreas;name;Base Izquierda Cocina L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Columnas;PhysicalAreas;name;Columna Sala Comedor A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Escaleras;PhysicalAreas;name;Escalera Piso1 CR23;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Base Derecha Cocina L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Base Izquierda Cocina L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PFI Baño L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PFI Local  L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PFR Alcoba L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PFR Alcoba2 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PFR Baño A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PFR Baño Cocina A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PFR Baño L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PFR Cocina A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PFR Pasillo Piso2 CR23;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PFR Patio L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PFR Sala Comedor A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PLD Alcoba1 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PLD Alcoba2 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PLD Baño A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PLD Baño L3;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PLD Cocina A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PLD Cocina A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PLD Local L3;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PLD Rincon L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PLI Alcoba1 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Columna PLI Baño Cocina A202;;Uno a Muchos Bidirecccional No.5
