From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Porton Local L1;       ;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Marco  Porton Local  L1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Filo Marco Porton Local L1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Pared Fachada Interior Local L1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Pared Frontal Local L1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Pared Lado Derecho Local  L1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Pared Lado Izquierdo Local  L1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Filo Columnas PFI Local  L1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Filo1 Columna PFR Local1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Filo2 Columna PFR Local1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Filo3 Columna PFR Local1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Filos Columna PLD Local  L1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Filo1 Columna PLD Local  L1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Filo2 Columna PLD Local  L1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Filo3 Columna PLD Local  L1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Filo4 Columna PLD Local  L1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Filo1 Columnas PLI Local  L1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Filo2 Columnas PLI Local  L1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Piso Local  L1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Guardascoba Local  L1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L1;PhysicalAreas;name;Techo Local  L1;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño L1;PhysicalAreas;name;Puerta Baño L1;;Muchos a Muchos Bidirecccional No.7
