From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
PhysicalSpacesTypes;name;Fachada;PhysicalSpaces;name;Fachada;       ;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Escaleras;PhysicalSpaces;name;Ingreso Escalera 1 Piso;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Escaleras;PhysicalSpaces;name;Escalera 1 Piso;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Pasillo;PhysicalSpaces;name;Pasillo 2 piso;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;placa;PhysicalSpaces;name;placa 2 piso;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;placa;PhysicalSpaces;name;placa 3 piso;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Local;PhysicalSpaces;name;Local L1;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Baño;PhysicalSpaces;name;Baño L1;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Cocina;PhysicalSpaces;name;Cocina L1;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Local;PhysicalSpaces;name;Local L2;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Rincon;PhysicalSpaces;name;Rincon L2;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Baño;PhysicalSpaces;name;Baño L2;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Local;PhysicalSpaces;name;Local L3;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Rincon;PhysicalSpaces;name;Rincon  L3;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Baño;PhysicalSpaces;name;Baño  L3;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Local;PhysicalSpaces;name;Local  L4;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Cocina;PhysicalSpaces;name;Cocina  L4;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Alcoba;PhysicalSpaces;name;Alcoba  L4;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Patio;PhysicalSpaces;name;Patio  L4;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Baño;PhysicalSpaces;name;Baño  L4;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Local;PhysicalSpaces;name;Local  L5;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Baño;PhysicalSpaces;name;Baño  L5;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Sala Comedor;PhysicalSpaces;name;Sala Comedor A201;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Cocina;PhysicalSpaces;name;Cocina A201;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Alcoba;PhysicalSpaces;name;Alcoba Principal A201;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Alcoba;PhysicalSpaces;name;Alcoba Secundaria  A201;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Baño;PhysicalSpaces;name;Baño A201;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Sala Comedor;PhysicalSpaces;name;Sala Comedor A202;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Baño;PhysicalSpaces;name;Baño A202;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Cocina;PhysicalSpaces;name;Cocina A202;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Baño;PhysicalSpaces;name;Baño Cocina A202;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Alcoba;PhysicalSpaces;name;Alcoba Principal A202;;Uno a Muchos Bidirecccional No.5
PhysicalSpacesTypes;name;Alcoba;PhysicalSpaces;name;Alcoba Secundaria A202;;Uno a Muchos Bidirecccional No.5
